103133089659,地铁口  毛坯房 50平方私家花园 上下两层叠墅,https://hz.lianjia.com/ershoufang/103133089659.html,云彩之城 ,萧山开发区,39569元/平,400万,3室2厅 | 101.09平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 暂无数据,2024-08-03 23:21:07
103133502547,小区房龄新，三开间朝南，采光充足，房东诚心出售,https://hz.lianjia.com/ershoufang/103133502547.html,德信碧桂园印江南 ,南部卧城,23243元/平,208万,3室1厅 | 89.49平米 | 南 | 简装 | 低楼层(共20层)  | 塔楼,2024-08-03 23:21:07
103134270979,广泽小区 2室2厅 南,https://hz.lianjia.com/ershoufang/103134270979.html,广泽小区 ,南部卧城,17061元/平,130万,2室2厅 | 76.2平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,2024-08-03 23:21:07
103132587135,江南之星正对泳池 满五税少 方便看房,https://hz.lianjia.com/ershoufang/103132587135.html,滨江江南之星 ,萧山新城区,38055元/平,338万,3室2厅 | 88.82平米 | 南 | 简装 | 34层  | 板楼,2024-08-03 23:21:07
103133381354,蜀山，广宁小区，76方，户型方正，中间楼层，满五唯一,https://hz.lianjia.com/ershoufang/103133381354.html,广宁小区 ,南部卧城,18975元/平,145万,2室2厅 | 76.42平米 | 南 | 精装 | 6层  | 平房,2024-08-03 23:21:07
103132404961,纯边套，房东诚售！买房提供免费设计服务！价格能谈！,https://hz.lianjia.com/ershoufang/103132404961.html,顺发美颂城 ,钱江世纪城,31047元/平,300万,3室1厅 | 96.63平米 | 东 南 北 | 精装 | 中楼层(共18层)  | 板楼,2024-08-03 23:21:07
103124025921,精装修的，4.5米层高 诚心出售 价格可以谈,https://hz.lianjia.com/ershoufang/103124025921.html,百富联合国际奥体之星 ,钱江世纪城,14376元/平,66万,2室1厅 | 45.91平米 | 南 西 | 精装 | 低楼层(共18层)  | 塔楼,2024-08-03 23:21:07
103131492415,精装大三房，纯边套，1号5号双地铁100米，中高无遮挡,https://hz.lianjia.com/ershoufang/103131492415.html,阳光城上府 ,西兴,37658元/平,335万,3室2厅 | 88.96平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2024-08-03 23:21:07
103128225802,精装交付次新房，南北三居，明厨明卫。好楼层,https://hz.lianjia.com/ershoufang/103128225802.html,景瑞晴海 ,钱江世纪城,29798元/平,295万,3室2厅 | 99平米 | 南 西 | 精装 | 26层  | 板楼,2024-08-03 23:21:07
103125359585,房子格局好，满五的房子，房东诚心出售 ，价格可谈,https://hz.lianjia.com/ershoufang/103125359585.html,绿都四季花城 ,南部卧城,23336元/平,388万,4室2厅 | 166.27平米 | 南 | 精装 | 10层  | 板楼,2024-08-03 23:21:07
103131235158,钱江世纪城板块，2号线振宁路地铁口小户型,https://hz.lianjia.com/ershoufang/103131235158.html,顺丰家园 ,钱江世纪城,23964元/平,148万,2室1厅 | 61.76平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,2024-08-03 23:21:07
103129961110,高楼层、纯毛坯从未入住、满二年有车位、诚心卖。,https://hz.lianjia.com/ershoufang/103129961110.html,滨江江南之星 ,萧山新城区,41049元/平,365万,3室2厅 | 88.92平米 | 南 北 | 毛坯 | 34层  | 板塔结合,2024-08-03 23:21:07
103129811290,满五唯一 夹边套 小区后排 实用80方 诚心出售,https://hz.lianjia.com/ershoufang/103129811290.html,金昌春和钱塘 ,钱江世纪城,47188元/平,406万,3室1厅 | 86.04平米 | 南 北 | 精装 | 23层  | 板塔结合,2024-08-03 23:21:07
103132381332,7号线地铁口，楼层好，通透户型，正对花园业主诚心卖,https://hz.lianjia.com/ershoufang/103132381332.html,博印名邸 ,萧山开发区,28303元/平,250万,3室2厅 | 88.33平米 | 南 北 | 精装 | 27层  | 板楼,2024-08-03 23:21:07
103132514677,五号线地铁 全新精装修 西边套户型 看房方便 楼层好,https://hz.lianjia.com/ershoufang/103132514677.html,花栖云境里 ,萧山开发区,21915元/平,255万,4室2厅 | 116.36平米 | 南 北 | 精装 | 高楼层(共16层)  | 暂无数据,2024-08-03 23:21:07
103126967533,房东诚心出售，中高楼层，视野采光好，现代化精装修,https://hz.lianjia.com/ershoufang/103126967533.html,华瑞晴庐 ,萧山新城区,31105元/平,268万,3室2厅 | 86.16平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2024-08-03 23:21:07
103133994372,湘湖人家洋房户型，自住精装修，三开间朝南,https://hz.lianjia.com/ershoufang/103133994372.html,湘湖人家 ,闻堰,19392元/平,165万,2室1厅 | 85.09平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2024-08-03 23:21:07
103134621188,好楼层户型好价格可以谈的看房子有密码,https://hz.lianjia.com/ershoufang/103134621188.html,碧桂园天麓府 ,南部卧城,21662元/平,189万,3室1厅 | 87.25平米 | 南 | 毛坯 | 26层  | 板楼,2024-08-03 23:21:07
103134000431,郡望府  东边套   户型采光好,https://hz.lianjia.com/ershoufang/103134000431.html,郡望府 ,萧山开发区,27547元/平,245万,4室2厅 | 88.94平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,2024-08-03 23:21:07
103134567644,杭州7号地铁口 20米左右 交通方便 永乐梦旺城旁,https://hz.lianjia.com/ershoufang/103134567644.html,相贤府 ,大江东,31536元/平,549万,5室2厅 | 174.09平米 | 南 | 精装 | 高楼层(共9层)  | 塔楼,2024-08-03 23:21:07
103133949240,此房满五的 业主自住精装修 楼层高 无增值税,https://hz.lianjia.com/ershoufang/103133949240.html,三水一生 ,义桥,14376元/平,180万,3室2厅 | 125.21平米 | 南 北 | 精装 | 5层  | 板楼,2024-08-03 23:21:07
103123868722,东信莱茵园 电梯房 西边套 四房 房东诚心出售,https://hz.lianjia.com/ershoufang/103123868722.html,东信莱茵园 ,萧山新城区,19379元/平,340万,4室2厅 | 175.45平米 | 南 | 精装 | 21层  | 板楼,2024-08-03 23:21:07
103125162840,萧山科技城机器人小镇旁有阳台天然气自用随时看房,https://hz.lianjia.com/ershoufang/103125162840.html,鸿兴城巧克力公馆 ,萧山开发区,10159元/平,85万,2室1厅 | 83.67平米 | 西南 | 精装 | 9层  | 塔楼,2024-08-03 23:21:07
103119939089,银泰旁，边套户型，精装修，拎包入住。,https://hz.lianjia.com/ershoufang/103119939089.html,星南站 ,南部卧城,14875元/平,52万,2室1厅 | 34.96平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,2024-08-03 23:21:07
103131492539,诚心出售，近地铁，电梯房，两房朝南，阳光充足。,https://hz.lianjia.com/ershoufang/103131492539.html,广泽小区 ,南部卧城,17874元/平,133万,2室2厅 | 74.41平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,2024-08-03 23:21:07
103131752773,2号线曹家桥1公里，楼层好视野好，自带幼儿园.满五年,https://hz.lianjia.com/ershoufang/103131752773.html,广泽小区 ,南部卧城,18158元/平,138万,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,2024-08-03 23:21:07
103134175700,金域东方园纯边套 精装修 家电家具齐全 拎包入住,https://hz.lianjia.com/ershoufang/103134175700.html,绿都金域东方 ,义桥,17763元/平,158万,3室2厅 | 88.95平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-03 23:21:07
103130974070,"2号线曹家桥站，楼层好，视野好，有电梯,满二年",https://hz.lianjia.com/ershoufang/103130974070.html,广悦公寓 ,南部卧城,18950元/平,238万,3室2厅 | 125.6平米 | 南 | 毛坯 | 26层  | 板楼,2024-08-03 23:21:07
103130079717,5号线姑娘桥站300米，精装修边套横厅，诚心出售好楼层,https://hz.lianjia.com/ershoufang/103130079717.html,云彩之城 ,萧山开发区,22715元/平,248万,4室2厅 | 109.18平米 | 南 | 精装 | 18层  | 暂无数据,2024-08-03 23:21:07
103134068179,低总价的精装修小两房，诚心出售,https://hz.lianjia.com/ershoufang/103134068179.html,阳光城上府 ,西兴,33932元/平,246万,2室1厅 | 72.5平米 | 南 | 精装 | 34层  | 板楼,2024-08-03 23:21:07
103128390279,银泰城旁，双阳台，从未租住，边套，全天采光，精装修,https://hz.lianjia.com/ershoufang/103128390279.html,青漫里 ,南部卧城,22251元/平,228万,3室2厅 | 102.47平米 | 南 西 北 | 精装 | 低楼层(共26层)  | 塔楼,2024-08-03 23:21:07
103133635166,浙二医院近，楼层好 满5唯一 带精装家具家电35万＋,https://hz.lianjia.com/ershoufang/103133635166.html,碧桂园天麓府 ,南部卧城,24787元/平,215万,3室2厅 | 86.74平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:21:07
103134724265,一线湖景房  房东诚心出售 开发商精装交付 视野很好,https://hz.lianjia.com/ershoufang/103134724265.html,乐虹湾 ,湘湖,40390元/平,348万,3室2厅 | 86.16平米 | 南 | 精装 | 34层  | 板塔结合,2024-08-03 23:21:07
103123707074,此房满五年，摩卡小高层，南北通的户型,https://hz.lianjia.com/ershoufang/103123707074.html,江南摩卡 ,闻堰,20947元/平,215万,3室2厅 | 102.64平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,2024-08-03 23:21:07
103133954580,满五 自住品牌精装（拎包入住）边套安静，诚心出可谈,https://hz.lianjia.com/ershoufang/103133954580.html,德信君宸 ,萧山新城区,39447元/平,348万,3室2厅 | 88.22平米 | 南 西南 | 精装 | 23层  | 板楼,2024-08-03 23:21:07
103133988562,业主诚心出售 精装边套4房，视野无遮挡，东边套绝了,https://hz.lianjia.com/ershoufang/103133988562.html,德信君宸 ,萧山新城区,38389元/平,425万,4室2厅 | 110.71平米 | 南 | 精装 | 23层  | 板楼,2024-08-03 23:21:07
103130433805,小户型，两层的，一层得两层，小区环境好，看房方便,https://hz.lianjia.com/ershoufang/103130433805.html,融创云潮府 ,萧山科技城,14958元/平,69万,2室1厅 | 46.13平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,2024-08-03 23:21:07
103131918075,远离高架！楼幢位置好，楼层好！房东诚心卖，价可谈,https://hz.lianjia.com/ershoufang/103131918075.html,顺发美颂城 ,钱江世纪城,30713元/平,300万,3室1厅 | 97.68平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-03 23:21:07
103133159995,次新电梯房，配套成熟，中楼层，精装带地暖，业主诚售,https://hz.lianjia.com/ershoufang/103133159995.html,恒大帝景 ,南部卧城,22465元/平,202万,3室1厅 | 89.92平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-03 23:21:07
103132242968,小区19幢开发商精装交付，业主诚心出售，满五无大税,https://hz.lianjia.com/ershoufang/103132242968.html,顺发恒园 ,萧山新城区,39619元/平,349万,3室2厅 | 88.09平米 | 南 | 精装 | 33层  | 板楼,2024-08-03 23:21:07
103134030524,四叶草户型  地铁口  精装9.8成新  可拎包入住 急售,https://hz.lianjia.com/ershoufang/103134030524.html,碧珑湾 ,萧山新城区,39739元/平,468万,4室2厅 | 117.77平米 | 南 | 精装 | 18层  | 板塔结合,2024-08-03 23:21:07
103134311408,江景西边套，窗外景观美如宫崎骏或者毕加索的画,https://hz.lianjia.com/ershoufang/103134311408.html,日耀之城 ,钱江世纪城,62085元/平,1550万,4室2厅 | 249.66平米 | 南 | 精装 | 36层  | 板塔结合,2024-08-03 23:21:07
103129318693,奥体东 一线江景房 精装大平层阳台浇筑好的 诚心出售,https://hz.lianjia.com/ershoufang/103129318693.html,众安景海湾 ,萧山科技城,19251元/平,302万,4室2厅 | 156.88平米 | 南 北 | 精装 | 31层  | 板楼,2024-08-03 23:21:07
103119611346,钱江世纪城板块 振宁路地铁口 大三房 满五年,https://hz.lianjia.com/ershoufang/103119611346.html,恒泰御庭园 ,钱江世纪城,20091元/平,315万,4室2厅 | 156.79平米 | 南 | 精装 | 12层  | 板塔结合,2024-08-03 23:21:07
103123168129,精装60万，满五不唯一 拎包入住，看房方便,https://hz.lianjia.com/ershoufang/103123168129.html,华瑞湘湖美地 ,湘湖,24238元/平,305万,3室2厅 | 125.84平米 | 南 北 | 精装 | 7层  | 板楼,2024-08-03 23:21:07
103132183892,世纪城 崇文 精装三房 楼间距大采光无遮挡,https://hz.lianjia.com/ershoufang/103132183892.html,世纪之光 ,钱江世纪城,37725元/平,305万,3室2厅 | 80.85平米 | 南 | 精装 | 16层  | 板楼,2024-08-03 23:21:07
103129443959,不靠高架，户型好，大阳台采光好，诚心出售，价格可谈,https://hz.lianjia.com/ershoufang/103129443959.html,湘湖人家 ,闻堰,17558元/平,155万,2室2厅 | 88.28平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2024-08-03 23:21:07
103132263436,精装修、采光无遮挡、近印象城、学军、业主诚心出售,https://hz.lianjia.com/ershoufang/103132263436.html,君品名邸 ,钱江世纪城,59016元/平,615万,3室2厅 | 104.21平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-03 23:21:07
103123781500,满五无增值税 中间楼层 诚心出售,https://hz.lianjia.com/ershoufang/103123781500.html,世纪之光 ,钱江世纪城,41435元/平,335万,3室2厅 | 80.85平米 | 南 北 | 精装 | 16层  | 板楼,2024-08-03 23:21:07
103128959304,"此房新交房户型方正,通透性强,楼层采光好",https://hz.lianjia.com/ershoufang/103128959304.html,保利欣品华庭 ,萧山开发区,23790元/平,228万,3室2厅 | 95.84平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,2024-08-03 23:21:07
103131281000,中间楼层 视野好 采光好 诚心卖,https://hz.lianjia.com/ershoufang/103131281000.html,景宸天玺名城 ,萧山新城区,40328元/平,355万,3室2厅 | 88.03平米 | 南 | 毛坯 | 34层  | 板楼,2024-08-03 23:21:07
103129443959,不靠高架，户型好，大阳台采光好，诚心出售，价格可谈,https://hz.lianjia.com/ershoufang/103129443959.html,湘湖人家 ,闻堰,17558元/平,155万,2室2厅 | 88.28平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2024-08-03 23:21:07
103132183892,世纪城 崇文 精装三房 楼间距大采光无遮挡,https://hz.lianjia.com/ershoufang/103132183892.html,世纪之光 ,钱江世纪城,37725元/平,305万,3室2厅 | 80.85平米 | 南 | 精装 | 16层  | 板楼,2024-08-03 23:21:07
103131544237,奥体天璞，四叶草中高层，业主诚心出售。,https://hz.lianjia.com/ershoufang/103131544237.html,天璞御园 ,钱江世纪城,68667元/平,950万,4室2厅 | 138.35平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-03 23:21:07
103126113665,诚心卖房高楼层视野很赞含泪卖 随时看房,https://hz.lianjia.com/ershoufang/103126113665.html,金色钱塘 ,萧山新城区,26267元/平,338万,3室2厅 | 128.68平米 | 南 | 精装 | 31层  | 板塔结合,2024-08-03 23:21:07
103134804258,7号线新街站300米，开发商精装修，复式两房，朝南,https://hz.lianjia.com/ershoufang/103134804258.html,融创印时代 ,萧山开发区,14127元/平,75万,2室2厅 | 53.09平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,2024-08-03 23:21:07
103134193668,临水户型 格局方正 视野景观好 诚心出售 条件可谈,https://hz.lianjia.com/ershoufang/103134193668.html,日耀之城 ,钱江世纪城,58963元/平,848万,4室2厅 | 143.82平米 | 东 南 | 精装 | 24层  | 板楼,2024-08-03 23:21:07
103134536073,绿城开发大四房地铁口东门出门楼层好,https://hz.lianjia.com/ershoufang/103134536073.html,绿城九龙仓桂语朝阳 ,南部卧城,31398元/平,418万,4室2厅 | 133.13平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,2024-08-03 23:21:07
103131918075,远离高架！楼幢位置好，楼层好！房东诚心卖，价可谈,https://hz.lianjia.com/ershoufang/103131918075.html,顺发美颂城 ,钱江世纪城,30713元/平,300万,3室1厅 | 97.68平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-03 23:21:07
103133505637,恒大国玺悦龙府4-1-1-3 204.76m² 1000万带2个车位,https://hz.lianjia.com/ershoufang/103133505637.html,恒大国玺悦龙府 ,萧山新城区,45420元/平,930万,4室1厅 | 204.76平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:21:07
103134030524,四叶草户型  地铁口  精装9.8成新  可拎包入住 急售,https://hz.lianjia.com/ershoufang/103134030524.html,碧珑湾 ,萧山新城区,39739元/平,468万,4室2厅 | 117.77平米 | 南 | 精装 | 18层  | 板塔结合,2024-08-03 23:21:07
103133159995,次新电梯房，配套成熟，中楼层，精装带地暖，业主诚售,https://hz.lianjia.com/ershoufang/103133159995.html,恒大帝景 ,南部卧城,22465元/平,202万,3室1厅 | 89.92平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-03 23:21:07
103132242968,小区19幢开发商精装交付，业主诚心出售，满五无大税,https://hz.lianjia.com/ershoufang/103132242968.html,顺发恒园 ,萧山新城区,39619元/平,349万,3室2厅 | 88.09平米 | 南 | 精装 | 33层  | 板楼,2024-08-03 23:21:07
103129888665,纯毛坯高楼层视野开阔，zmianj28平,https://hz.lianjia.com/ershoufang/103129888665.html,华瑞晴庐 ,萧山新城区,29667元/平,350万,4室1厅 | 117.98平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,2024-08-03 23:21:07
103123707074,此房满五年，摩卡小高层，南北通的户型,https://hz.lianjia.com/ershoufang/103123707074.html,江南摩卡 ,闻堰,20947元/平,215万,3室2厅 | 102.64平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,2024-08-03 23:21:07
103130501472,奥邸国际高区大平层  视野开阔 采光充足 诚心出售,https://hz.lianjia.com/ershoufang/103130501472.html,保亿绿城奥邸国际 ,奥体,67063元/平,271万,3室2厅 | 40.41平米 | 东 南 北 | 精装 | 中楼层(共54层)  | 板楼,2024-08-03 23:21:07
103132679892,房子全新装修 没住过人 拎包入住 户型方正视野好,https://hz.lianjia.com/ershoufang/103132679892.html,德信金科泊岸江宸轩 ,南部卧城,19539元/平,210万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-03 23:21:07
103128122764,中间楼层，近地铁，业主诚售，包增值税,https://hz.lianjia.com/ershoufang/103128122764.html,中誉现代城 ,萧山新城区,18812元/平,125万,1室1厅 | 66.45平米 | 北 | 简装 | 低楼层(共17层)  | 板楼,2024-08-03 23:21:07
103129946965,户型正 满五年 品质好 地铁口,https://hz.lianjia.com/ershoufang/103129946965.html,金域三江 ,义桥,14602元/平,138万,2室2厅 | 94.51平米 | 西北 | 简装 | 高楼层(共29层)  | 塔楼,2024-08-03 23:21:07
103134244075,亚运村新空未住精装4房东向大阳台  急售,https://hz.lianjia.com/ershoufang/103134244075.html,日耀之城 ,钱江世纪城,54875元/平,788万,4室2厅 | 143.6平米 | 南 | 精装 | 30层  | 塔楼,2024-08-03 23:21:07
103132285837,房东小孩出售留学诚售此房  价格能谈,https://hz.lianjia.com/ershoufang/103132285837.html,滨江新城东方名府 ,萧山新城区,29944元/平,379万,4室1厅 | 126.57平米 | 东南 南 | 毛坯 | 中楼层(共20层)  | 板塔结合,2024-08-03 23:21:07
103131806623,70年产权 小户型 朝南 满五年 高楼层 江景房,https://hz.lianjia.com/ershoufang/103131806623.html,三江花园(萧山) ,闻堰,22370元/平,135万,2室1厅 | 60.35平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,2024-08-03 23:21:07
103133361744,国际大会展中  心旁 99方 纯边套，地铁口 满两年,https://hz.lianjia.com/ershoufang/103133361744.html,大诚纪名府 ,大江东,18590元/平,185万,3室1厅 | 99.52平米 | 南 | 精装 | 14层  | 板楼,2024-08-03 23:21:07
103125848641,近奥体，临滨江，市北西品质小区，七号线地铁口,https://hz.lianjia.com/ershoufang/103125848641.html,景宸天玺名城 ,萧山新城区,44651元/平,520万,4室2厅 | 116.46平米 | 南 西 | 毛坯 | 34层  | 塔楼,2024-08-03 23:21:07
103131570716,一号线地铁口 天空之城精装修边套 地下室直通地铁,https://hz.lianjia.com/ershoufang/103131570716.html,天空之城 ,大江东,21337元/平,190万,3室2厅 | 89.05平米 | 南 | 精装 | 14层  | 板塔结合,2024-08-03 23:21:07
103129350796,地铁口 房东诚售 随时可看 楼层好,https://hz.lianjia.com/ershoufang/103129350796.html,得力名望府 ,萧山开发区,21227元/平,190万,3室2厅 | 89.51平米 | 南 | 毛坯 | 25层  | 板楼,2024-08-03 23:21:07
103123476121,新街七号线地铁口，三室两厅两卫出售,https://hz.lianjia.com/ershoufang/103123476121.html,中铁诺德雅逸府 ,萧山开发区,21240元/平,185万,3室2厅 | 87.1平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,2024-08-03 23:21:07
103129350796,地铁口 房东诚售 随时可看 楼层好,https://hz.lianjia.com/ershoufang/103129350796.html,得力名望府 ,萧山开发区,21227元/平,190万,3室2厅 | 89.51平米 | 南 | 毛坯 | 25层  | 板楼,2024-08-03 23:21:07
103129586569,精装修，位置好，楼层好，地铁口,https://hz.lianjia.com/ershoufang/103129586569.html,众安朝阳8号 ,南部卧城,28300元/平,253万,3室2厅 | 89.4平米 | 南 | 精装 | 33层  | 塔楼,2024-08-03 23:21:07
103130411428,采光好 业主诚心出售 户型方正,https://hz.lianjia.com/ershoufang/103130411428.html,美之园西区 ,湘湖,23598元/平,225万,3室2厅 | 95.35平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2024-08-03 23:21:07
103134283985,金色钱塘 4室1厅 东南 西南,https://hz.lianjia.com/ershoufang/103134283985.html,金色钱塘 ,萧山新城区,24435元/平,360万,4室1厅 | 147.33平米 | 东南 西南 | 简装 | 11层  | 板塔结合,2024-08-03 23:21:07
103131301639,多层好楼层 诚心出售 看房方便,https://hz.lianjia.com/ershoufang/103131301639.html,华瑞湘湖美地 ,湘湖,22324元/平,285万,3室2厅 | 127.67平米 | 南 | 简装 | 7层  | 板楼,2024-08-03 23:21:07
103132184569,香悦半岛小区 双阳台户型  精装修好楼层 诚心出售,https://hz.lianjia.com/ershoufang/103132184569.html,新城香悦半岛 ,南部卧城,24195元/平,269万,3室2厅 | 111.18平米 | 东 | 精装 | 低楼层(共30层)  | 板楼,2024-08-03 23:21:07
103127148949,房东诚心卖，楼层好，看房方便，湖景房，价格可谈。,https://hz.lianjia.com/ershoufang/103127148949.html,佳源.湘印府 ,义桥,22824元/平,205万,3室2厅 | 89.82平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,2024-08-03 23:21:07
103134526745,时代奥城 三开间朝南 精装自住,https://hz.lianjia.com/ershoufang/103134526745.html,融创华奥时代奥城 ,钱江世纪城,64139元/平,690万,3室2厅 | 107.58平米 | 南 | 精装 | 17层  | 板塔结合,2024-08-03 23:21:07
103121462000,没住过人，开发商样板房，业主诚心出售,https://hz.lianjia.com/ershoufang/103121462000.html,闻博花城 ,萧山新城区,38671元/平,585万,4室2厅 | 151.28平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-03 23:21:07
103132660595,钱江世纪城板块 振宁路地铁口 小洋房 得房率高 诚心卖,https://hz.lianjia.com/ershoufang/103132660595.html,顺丰家园 ,钱江世纪城,25907元/平,160万,2室1厅 | 61.76平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,2024-08-03 23:21:07
103120555247,自住装修保养的好，一楼带有15方院子。2房户型.,https://hz.lianjia.com/ershoufang/103120555247.html,崇化住宅区 ,萧山市区,20662元/平,115万,2室1厅 | 55.66平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2024-08-03 23:21:07
103133541408,望涛月明 视野开阔 三开间朝南 房东诚心 看房方便,https://hz.lianjia.com/ershoufang/103133541408.html,滨江望涛月明 ,萧山新城区,36897元/平,400万,3室1厅 | 108.41平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2024-08-03 23:21:07
103128624051,自住精装，满五业主诚心售，滨江品质，带车位,https://hz.lianjia.com/ershoufang/103128624051.html,滨江金色江南公寓 ,钱江世纪城,48015元/平,428万,3室2厅 | 89.14平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:21:07
103131146691,五号线地铁口，自住精装修，满二唯一,https://hz.lianjia.com/ershoufang/103131146691.html,得力名望府 ,萧山开发区,25005元/平,149万,2室2厅 | 59.59平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:21:07
103119061086,满二唯一，有车位，好楼层诚心卖,https://hz.lianjia.com/ershoufang/103119061086.html,嘉宸天誉名轩 ,萧山新城区,46841元/平,590万,4室2厅 | 125.96平米 | 东南 | 精装 | 34层  | 板楼,2024-08-03 23:21:07
103129946965,户型正 满五年 品质好 地铁口,https://hz.lianjia.com/ershoufang/103129946965.html,金域三江 ,义桥,14602元/平,138万,2室2厅 | 94.51平米 | 西北 | 简装 | 高楼层(共29层)  | 塔楼,2024-08-03 23:21:07
103134244075,亚运村新空未住精装4房东向大阳台  急售,https://hz.lianjia.com/ershoufang/103134244075.html,日耀之城 ,钱江世纪城,54875元/平,788万,4室2厅 | 143.6平米 | 南 | 精装 | 30层  | 塔楼,2024-08-03 23:21:07
103132285837,房东小孩出售留学诚售此房  价格能谈,https://hz.lianjia.com/ershoufang/103132285837.html,滨江新城东方名府 ,萧山新城区,29944元/平,379万,4室1厅 | 126.57平米 | 东南 南 | 毛坯 | 中楼层(共20层)  | 板塔结合,2024-08-03 23:21:07
103134549662,南临水博园，北临钱塘江，业主诚心出售,https://hz.lianjia.com/ershoufang/103134549662.html,科尔世纪外滩 ,萧山科技城,21383元/平,189万,3室1厅 | 88.39平米 | 南 | 毛坯 | 28层  | 板塔结合,2024-08-03 23:21:07
103134715000,双金山，地铁口 满五年税少 自住精装修，保养好,https://hz.lianjia.com/ershoufang/103134715000.html,心意广场 ,萧山市区,22940元/平,375万,3室2厅 | 163.47平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2024-08-03 23:21:07
103132059961,雅棠轩大4房  房东出国诚心出售  看房方便,https://hz.lianjia.com/ershoufang/103132059961.html,雅棠轩 ,萧山新城区,31052元/平,400万,4室2厅 | 128.82平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,2024-08-03 23:21:07
103134018772,此房价格包税看房扣彭继争随时可看诚心卖 价格可谈的,https://hz.lianjia.com/ershoufang/103134018772.html,众安花园 ,萧山市区,18467元/平,255万,3室2厅 | 138.09平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2024-08-03 23:21:07
103133987981,广泽小区 地铁口 ，刚需两房，采光好 诚心出售,https://hz.lianjia.com/ershoufang/103133987981.html,广泽小区 ,南部卧城,17163元/平,128万,2室2厅 | 74.58平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2024-08-03 23:21:07
103134586143,北干华达社区，楼层好，附大平台，阳光房已包进，可议,https://hz.lianjia.com/ershoufang/103134586143.html,北干一苑 ,萧山市区,25705元/平,239万,3室2厅 | 92.98平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2024-08-03 23:21:07
103113694222,中国铁建 品质小区  高楼层视野好 采光很好,https://hz.lianjia.com/ershoufang/103113694222.html,中国铁建青秀城 ,萧山新城区,36298元/平,320万,3室2厅 | 88.16平米 | 南 北 | 简装 | 18层  | 板塔结合,2024-08-03 23:21:07
103134352215,亚运旁小区采光无遮挡中间位置世纪初板块，高楼层,https://hz.lianjia.com/ershoufang/103134352215.html,盈一佳苑 ,钱江世纪城,24916元/平,155万,2室1厅 | 62.21平米 | 南 | 简装 | 27层  | 板塔结合,2024-08-03 23:21:07
103132216873,业主诚心出售 采光充足 视野宽阔,https://hz.lianjia.com/ershoufang/103132216873.html,南城景园 ,南部卧城,16031元/平,139万,3室2厅 | 86.71平米 | 南 | 精装 | 6层  | 板楼,2024-08-03 23:21:07
103132654636,世纪城板块  自住加装50W+ 楼层好  视野宽阔 采光充足,https://hz.lianjia.com/ershoufang/103132654636.html,世纪之光 ,钱江世纪城,48268元/平,606万,4室2厅 | 125.55平米 | 东 南 | 精装 | 16层  | 板楼,2024-08-03 23:21:07
