103125102689,买一层得两层 房东诚心出售 地铁1。5号线交通方便,https://hz.lianjia.com/ershoufang/103125102689.html,中国铁建江南国际城 ,萧山新城区,39105元/平,470万,6室2厅 | 120.19平米 | 南 | 简装 | 34层  | 板塔结合,2024-08-04 11:21:29
103128390279,银泰城旁，双阳台，从未租住，边套，全天采光，精装修,https://hz.lianjia.com/ershoufang/103128390279.html,青漫里 ,南部卧城,22251元/平,228万,3室2厅 | 102.47平米 | 南 西 北 | 精装 | 低楼层(共26层)  | 塔楼,2024-08-04 11:21:29
103131752773,2号线曹家桥1公里，楼层好视野好，自带幼儿园.满五年,https://hz.lianjia.com/ershoufang/103131752773.html,广泽小区 ,南部卧城,18158元/平,138万,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,2024-08-04 11:21:29
103132263436,精装修、采光无遮挡、近印象城、学军、业主诚心出售,https://hz.lianjia.com/ershoufang/103132263436.html,君品名邸 ,钱江世纪城,59016元/平,615万,3室2厅 | 104.21平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-04 11:21:29
103125848641,近奥体，临滨江，市北西品质小区，七号线地铁口,https://hz.lianjia.com/ershoufang/103125848641.html,景宸天玺名城 ,萧山新城区,44651元/平,520万,4室2厅 | 116.46平米 | 南 西 | 毛坯 | 34层  | 塔楼,2024-08-04 11:21:29
103123707074,此房满五年，摩卡小高层，南北通的户型,https://hz.lianjia.com/ershoufang/103123707074.html,江南摩卡 ,闻堰,20947元/平,215万,3室2厅 | 102.64平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,2024-08-04 11:21:29
103133159995,次新电梯房，配套成熟，中楼层，精装带地暖，业主诚售,https://hz.lianjia.com/ershoufang/103133159995.html,恒大帝景 ,南部卧城,22465元/平,202万,3室1厅 | 89.92平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-04 11:21:29
103130109380,五号线地铁口，自住精装修，满五唯一 急售,https://hz.lianjia.com/ershoufang/103130109380.html,得力名望府 ,萧山开发区,26462元/平,158万,2室1厅 | 59.71平米 | 南 | 精装 | 25层  | 板楼,2024-08-04 11:21:29
103123781500,满五无增值税 中间楼层 诚心出售,https://hz.lianjia.com/ershoufang/103123781500.html,世纪之光 ,钱江世纪城,41435元/平,335万,3室2厅 | 80.85平米 | 南 北 | 精装 | 16层  | 板楼,2024-08-04 11:21:29
103133954580,满五 自住品牌精装（拎包入住）边套安静，诚心出可谈,https://hz.lianjia.com/ershoufang/103133954580.html,德信君宸 ,萧山新城区,39447元/平,348万,3室2厅 | 88.22平米 | 南 西南 | 精装 | 23层  | 板楼,2024-08-04 11:21:29
103130433805,小户型，两层的，一层得两层，小区环境好，看房方便,https://hz.lianjia.com/ershoufang/103130433805.html,融创云潮府 ,萧山科技城,14958元/平,69万,2室1厅 | 46.13平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,2024-08-04 11:21:29
103132805942,"近滨江,房子全新没住过,适合当婚房,诚心出售价格可谈",https://hz.lianjia.com/ershoufang/103132805942.html,乐虹湾 ,湘湖,37171元/平,330万,3室2厅 | 88.78平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-04 11:21:29
103134206346,世纪城板块 滨江开发  近地铁2号线 飞虹路站 精装全配,https://hz.lianjia.com/ershoufang/103134206346.html,滨江金色江南公寓 ,钱江世纪城,49238元/平,439万,3室1厅 | 89.16平米 | 南 | 精装 | 27层  | 板楼,2024-08-04 11:21:29
103129955255,高桥初衷！高品质小区满五唯一户型楼层好采光好,https://hz.lianjia.com/ershoufang/103129955255.html,得力名门世家 ,南部卧城,41080元/平,370万,4室2厅 | 90.07平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2024-08-04 11:21:29
103125651477,党山镇上低价格优质好房，房东诚心出售,https://hz.lianjia.com/ershoufang/103125651477.html,新街路 ,大江东,7312元/平,48万,2室1厅 | 65.65平米 | 东 西 | 简装 | 中楼层(共5层)  | 板楼,2024-08-04 11:21:29
103126113665,诚心卖房高楼层视野很赞含泪卖 随时看房,https://hz.lianjia.com/ershoufang/103126113665.html,金色钱塘 ,萧山新城区,26267元/平,338万,3室2厅 | 128.68平米 | 南 | 精装 | 31层  | 板塔结合,2024-08-04 11:21:29
103132029587,房子户型正 三开间朝南 交通方便 刚需低首付,https://hz.lianjia.com/ershoufang/103132029587.html,金域兰庭 ,义桥,16327元/平,140万,2室2厅 | 85.75平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,2024-08-04 11:21:29
103134166137,小区环境好， 总价低， 看房方便，有钥匙,https://hz.lianjia.com/ershoufang/103134166137.html,南润名座 ,南部卧城,10775元/平,38万,2室1厅 | 35.27平米 | 北 | 简装 | 高楼层(共22层)  | 板楼,2024-08-04 11:21:29
103128201982,一线江景，环境优美，通透户型，满5年.精装修,https://hz.lianjia.com/ershoufang/103128201982.html,众安景海湾 ,萧山科技城,17542元/平,243万,4室1厅 | 138.53平米 | 南 | 精装 | 33层  | 板楼,2024-08-04 11:21:29
103132113280,亚奥板块中间楼幢的中间位置，罕见方正户型南北通,https://hz.lianjia.com/ershoufang/103132113280.html,顺发美颂城 ,钱江世纪城,31225元/平,305万,3室2厅 | 97.68平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-04 11:21:29
103134366185,日耀之城滨水区 采光视野景观都好 单价低总价低,https://hz.lianjia.com/ershoufang/103134366185.html,日耀之城 ,钱江世纪城,56186元/平,808万,4室2厅 | 143.81平米 | 南 北 | 精装 | 29层  | 板塔结合,2024-08-04 11:21:29
103134812467,亚运村板块 刚需三房 中间楼层 诚心出售,https://hz.lianjia.com/ershoufang/103134812467.html,顺发康庄 ,钱江世纪城,22483元/平,198万,3室2厅 | 88.07平米 | 南 | 简装 | 29层  | 板楼,2024-08-04 11:21:29
103121137448,君宸，自住装修，7号线，看房方便,https://hz.lianjia.com/ershoufang/103121137448.html,德信君宸 ,萧山新城区,36448元/平,325万,3室2厅 | 89.17平米 | 南 | 精装 | 23层  | 板楼,2024-08-04 11:21:29
103127948489,为了卖房，租客已经清空，钥匙在手随时看房,https://hz.lianjia.com/ershoufang/103127948489.html,众安朝阳8号 ,南部卧城,24924元/平,219万,3室2厅 | 87.87平米 | 南 | 简装 | 33层  | 塔楼,2024-08-04 11:21:29
103131909735,此房满满五唯一，边套横厅户型采光无遮挡精装,https://hz.lianjia.com/ershoufang/103131909735.html,博印名邸 ,萧山开发区,28229元/平,249万,3室2厅 | 88.21平米 | 南 | 精装 | 27层  | 板楼,2024-08-04 11:21:29
103123476121,新街七号线地铁口，三室两厅两卫出售,https://hz.lianjia.com/ershoufang/103123476121.html,中铁诺德雅逸府 ,萧山开发区,21240元/平,185万,3室2厅 | 87.1平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,2024-08-04 11:21:29
103129350796,地铁口 房东诚售 随时可看 楼层好,https://hz.lianjia.com/ershoufang/103129350796.html,得力名望府 ,萧山开发区,21227元/平,190万,3室2厅 | 89.51平米 | 南 | 毛坯 | 25层  | 板楼,2024-08-04 11:21:29
103129586569,精装修，位置好，楼层好，地铁口,https://hz.lianjia.com/ershoufang/103129586569.html,众安朝阳8号 ,南部卧城,28300元/平,253万,3室2厅 | 89.4平米 | 南 | 精装 | 33层  | 塔楼,2024-08-04 11:21:29
103131301639,多层好楼层 诚心出售 看房方便,https://hz.lianjia.com/ershoufang/103131301639.html,华瑞湘湖美地 ,湘湖,22324元/平,285万,3室2厅 | 127.67平米 | 南 | 简装 | 7层  | 板楼,2024-08-04 11:21:29
103127148949,房东诚心卖，楼层好，看房方便，湖景房，价格可谈。,https://hz.lianjia.com/ershoufang/103127148949.html,佳源.湘印府 ,义桥,22824元/平,205万,3室2厅 | 89.82平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,2024-08-04 11:21:29
103121462000,没住过人，开发商样板房，业主诚心出售,https://hz.lianjia.com/ershoufang/103121462000.html,闻博花城 ,萧山新城区,38671元/平,585万,4室2厅 | 151.28平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-04 11:21:29
103132660595,钱江世纪城板块 振宁路地铁口 小洋房 得房率高 诚心卖,https://hz.lianjia.com/ershoufang/103132660595.html,顺丰家园 ,钱江世纪城,25907元/平,160万,2室1厅 | 61.76平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,2024-08-04 11:21:29
103128624051,自住精装，满五业主诚心售，滨江品质，带车位,https://hz.lianjia.com/ershoufang/103128624051.html,滨江金色江南公寓 ,钱江世纪城,48015元/平,428万,3室2厅 | 89.14平米 | 南 | 精装 | 27层  | 板楼,2024-08-04 11:21:29
103119061086,满二唯一，有车位，好楼层诚心卖,https://hz.lianjia.com/ershoufang/103119061086.html,嘉宸天誉名轩 ,萧山新城区,46841元/平,590万,4室2厅 | 125.96平米 | 东南 | 精装 | 34层  | 板楼,2024-08-04 11:21:29
103129946965,户型正 满五年 品质好 地铁口,https://hz.lianjia.com/ershoufang/103129946965.html,金域三江 ,义桥,14602元/平,138万,2室2厅 | 94.51平米 | 西北 | 简装 | 高楼层(共29层)  | 塔楼,2024-08-04 11:21:29
103134549662,南临水博园，北临钱塘江，业主诚心出售,https://hz.lianjia.com/ershoufang/103134549662.html,科尔世纪外滩 ,萧山科技城,21383元/平,189万,3室1厅 | 88.39平米 | 南 | 毛坯 | 28层  | 板塔结合,2024-08-04 11:21:29
103132059961,雅棠轩大4房  房东出国诚心出售  看房方便,https://hz.lianjia.com/ershoufang/103132059961.html,雅棠轩 ,萧山新城区,31052元/平,400万,4室2厅 | 128.82平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,2024-08-04 11:21:29
103133987981,广泽小区 地铁口 ，刚需两房，采光好 诚心出售,https://hz.lianjia.com/ershoufang/103133987981.html,广泽小区 ,南部卧城,17163元/平,128万,2室2厅 | 74.58平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2024-08-04 11:21:29
103134586143,北干华达社区，楼层好，附大平台，阳光房已包进，可议,https://hz.lianjia.com/ershoufang/103134586143.html,北干一苑 ,萧山市区,25705元/平,239万,3室2厅 | 92.98平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2024-08-04 11:21:29
103134352215,亚运旁小区采光无遮挡中间位置世纪初板块，高楼层,https://hz.lianjia.com/ershoufang/103134352215.html,盈一佳苑 ,钱江世纪城,24916元/平,155万,2室1厅 | 62.21平米 | 南 | 简装 | 27层  | 板塔结合,2024-08-04 11:21:29
103132654636,世纪城板块  自住加装50W+ 楼层好  视野宽阔 采光充足,https://hz.lianjia.com/ershoufang/103132654636.html,世纪之光 ,钱江世纪城,48268元/平,606万,4室2厅 | 125.55平米 | 东 南 | 精装 | 16层  | 板楼,2024-08-04 11:21:29
103134540095,萧山南卧融望之城全新未入住看房方便,https://hz.lianjia.com/ershoufang/103134540095.html,融望之城 ,南部卧城,24880元/平,325万,4室2厅 | 130.63平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,2024-08-04 11:21:29
103132384607,满五年，边套，南北通透，户型全明，拓展20方，诚心卖,https://hz.lianjia.com/ershoufang/103132384607.html,恒大帝景 ,南部卧城,24551元/平,220万,3室2厅 | 89.61平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-04 11:21:29
103127692583,钱江世纪城旁，高品质次新小区，3房2卫，诚售,https://hz.lianjia.com/ershoufang/103127692583.html,景瑞晴海 ,钱江世纪城,26199元/平,258万,3室2厅 | 98.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-04 11:21:29
103132063077,高楼层 中间套 三居室 诚心卖 看不到公墓,https://hz.lianjia.com/ershoufang/103132063077.html,乐虹湾 ,湘湖,37905元/平,340万,3室1厅 | 89.7平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-04 11:21:29
103131948218,滨江三房精装修中高楼层次新房地铁口诚心出售,https://hz.lianjia.com/ershoufang/103131948218.html,滨江御虹府 ,钱江世纪城,54978元/平,565万,3室2厅 | 102.77平米 | 南 | 精装 | 26层  | 板楼,2024-08-04 11:21:29
103134413931,满二 江景房 万科江湾城 开放式厨房 大横厅 南北通透,https://hz.lianjia.com/ershoufang/103134413931.html,锦浦江岸公寓 ,义桥,21621元/平,250万,3室2厅 | 115.63平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,2024-08-04 11:21:29
103130952170,前面就是排屋，小区中间楼层，视野好 ，采光无遮挡,https://hz.lianjia.com/ershoufang/103130952170.html,融望之城 ,南部卧城,24858元/平,245万,3室2厅 | 98.56平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,2024-08-04 11:21:29
103131917697,刚交付的萧山次新房，包大税，精装修采光好楼层好,https://hz.lianjia.com/ershoufang/103131917697.html,德信金科泊岸江宸轩 ,南部卧城,17041元/平,183万,3室2厅 | 107.39平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-04 11:21:29
103128100658,西边套大阳台 精装修 西门口安静 采光好,https://hz.lianjia.com/ershoufang/103128100658.html,汝悦美境府 ,钱江世纪城,30454元/平,332万,3室2厅 | 109.02平米 | 南 | 精装 | 17层  | 板楼,2024-08-04 11:21:29
103134586143,北干华达社区，楼层好，附大平台，阳光房已包进，可议,https://hz.lianjia.com/ershoufang/103134586143.html,北干一苑 ,萧山市区,25705元/平,239万,3室2厅 | 92.98平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2024-08-04 11:21:29
103129267502,近世纪城，边套精装带地暖三居室，采光很好,https://hz.lianjia.com/ershoufang/103129267502.html,景瑞晴海 ,钱江世纪城,26768元/平,265万,3室2厅 | 99平米 | 南 | 精装 | 26层  | 板楼,2024-08-04 11:21:29
103123446408,五号线地铁 旁，精装全屋定制精装修，采光好,https://hz.lianjia.com/ershoufang/103123446408.html,得力名望府 ,萧山开发区,22995元/平,205万,4室2厅 | 89.15平米 | 南 | 精装 | 25层  | 板楼,2024-08-04 11:21:29
103134540095,萧山南卧融望之城全新未入住看房方便,https://hz.lianjia.com/ershoufang/103134540095.html,融望之城 ,南部卧城,24880元/平,325万,4室2厅 | 130.63平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,2024-08-04 11:21:29
103128624051,自住精装，满五业主诚心售，滨江品质，带车位,https://hz.lianjia.com/ershoufang/103128624051.html,滨江金色江南公寓 ,钱江世纪城,48015元/平,428万,3室2厅 | 89.14平米 | 南 | 精装 | 27层  | 板楼,2024-08-04 11:21:29
103134352215,亚运旁小区采光无遮挡中间位置世纪初板块，高楼层,https://hz.lianjia.com/ershoufang/103134352215.html,盈一佳苑 ,钱江世纪城,24916元/平,155万,2室1厅 | 62.21平米 | 南 | 简装 | 27层  | 板塔结合,2024-08-04 11:21:29
103121135574,世纪城 东边套 精装拎包入住 高楼层 无遮挡 房东诚售,https://hz.lianjia.com/ershoufang/103121135574.html,滨江金色江南公寓 ,钱江世纪城,53488元/平,477万,3室2厅 | 89.18平米 | 南 北 东 | 精装 | 27层  | 板楼,2024-08-04 11:21:29
103127158297,君品名邸 滨江品质 好楼层 景观位置 5室改善 诚心,https://hz.lianjia.com/ershoufang/103127158297.html,君品名邸 ,钱江世纪城,62642元/平,1080万,5室2厅 | 172.41平米 | 南 | 精装 | 25层  | 板楼,2024-08-04 11:21:29
103119281018,三开间朝南，阳光采光好，精装修,https://hz.lianjia.com/ershoufang/103119281018.html,湘湖人家 ,闻堰,17558元/平,155万,2室2厅 | 88.28平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,2024-08-04 11:21:29
103134165184,次新电梯房，小区体量大，配套成熟，中间楼层，采光好,https://hz.lianjia.com/ershoufang/103134165184.html,广泽小区 ,南部卧城,16743元/平,125万,2室2厅 | 74.66平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2024-08-04 11:21:29
103131839797,7号线地铁口此房满二唯一，精装修三开间朝南诚心出售,https://hz.lianjia.com/ershoufang/103131839797.html,中铁诺德雅逸府 ,萧山开发区,22812元/平,202万,3室2厅 | 88.55平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,2024-08-04 11:21:29
103119482335,绿城打造 精装交付 有车位，高楼层，视野好，,https://hz.lianjia.com/ershoufang/103119482335.html,绿城九龙仓桂语江南 ,萧山新城区,48264元/平,460万,3室2厅 | 95.31平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,2024-08-04 11:21:29
103132096145,龙湖春江悦茗 中高楼层 诚心出售,https://hz.lianjia.com/ershoufang/103132096145.html,龙湖旭辉春江悦茗 ,萧山新城区,36855元/平,299万,3室2厅 | 81.13平米 | 南 | 简装 | 30层  | 板塔结合,2024-08-04 11:21:29
103132944938,雅逸府业主自住精装修，看房方便，诚心出售等待有缘人,https://hz.lianjia.com/ershoufang/103132944938.html,中铁诺德雅逸府 ,萧山开发区,26981元/平,235万,3室1厅 | 87.1平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,2024-08-04 11:21:29
103133384826,江南学府 中高楼层 采光视线好 诚心出售,https://hz.lianjia.com/ershoufang/103133384826.html,融信江南学府 ,萧山新城区,38915元/平,340万,3室2厅 | 87.37平米 | 南 | 简装 | 33层  | 板楼,2024-08-04 11:21:29
103131846871,南阳地铁口 95方三房两卫 东边套 诚心,https://hz.lianjia.com/ershoufang/103131846871.html,阅杭里 ,大江东,18529元/平,176万,3室2厅 | 94.99平米 | 南 北 | 精装 | 10层  | 板楼,2024-08-04 11:21:29
103134824411,银泰旁精装交付全明三房，品质小区即买即住，高档物业,https://hz.lianjia.com/ershoufang/103134824411.html,金地滨与城 ,义桥,15431元/平,146万,3室2厅 | 94.62平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,2024-08-04 11:21:29
103124534319,杭州湾信息港北面、滨江和奥体板块合围，地铁7号线口,https://hz.lianjia.com/ershoufang/103124534319.html,英冠乐创城 ,萧山新城区,22536元/平,96万,2室1厅 | 42.6平米 | 南 | 精装 | 21层  | 板楼,2024-08-04 11:21:29
103125466038,房东要出国啦 忍痛割爱 含车位 无噪音影响,https://hz.lianjia.com/ershoufang/103125466038.html,滨江新城东方名府 ,萧山新城区,31613元/平,390万,4室2厅 | 123.37平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,2024-08-04 11:21:29
103131906955,招商央企品质小区 二号线建设一路地铁口 业主诚售,https://hz.lianjia.com/ershoufang/103131906955.html,招商蛇口花屿观澜里 ,萧山新城区,37379元/平,385万,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,2024-08-04 11:21:29
103130889235,招商闻博花城，满二，四叶草大平层，装修好。,https://hz.lianjia.com/ershoufang/103130889235.html,闻博花城 ,萧山新城区,42187元/平,639万,4室2厅 | 151.47平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-04 11:21:29
103131801360,不靠高架，高得房率，三联阳台，好楼层,https://hz.lianjia.com/ershoufang/103131801360.html,阳光城滨奥悦府 ,钱江世纪城,61420元/平,650万,3室2厅 | 105.83平米 | 南 | 精装 | 17层  | 板楼,2024-08-04 11:21:29
103133847104,一楼多层洋房+有架空+有菜园+按毛坯价+诚心卖,https://hz.lianjia.com/ershoufang/103133847104.html,三水一生 ,义桥,16187元/平,212万,3室2厅 | 130.97平米 | 南 | 精装 | 5层  | 板楼,2024-08-04 11:21:29
103134127685,西边套横厅精装修，客厅宽绰，楼层好，太阳无遮无拦,https://hz.lianjia.com/ershoufang/103134127685.html,世纪之光 ,钱江世纪城,47208元/平,596万,4室1厅 | 126.25平米 | 南 | 精装 | 17层  | 板楼,2024-08-04 11:21:29
103129652690,5号线地铁口，中间楼层，正对游泳池采光好,https://hz.lianjia.com/ershoufang/103129652690.html,得力名望府 ,萧山开发区,24879元/平,148万,2室2厅 | 59.49平米 | 南 | 毛坯 | 25层  | 板楼,2024-08-04 11:21:29
103134812467,亚运村板块 刚需三房 中间楼层 诚心出售,https://hz.lianjia.com/ershoufang/103134812467.html,顺发康庄 ,钱江世纪城,22483元/平,198万,3室2厅 | 88.07平米 | 南 | 简装 | 29层  | 板楼,2024-08-04 11:21:29
103124975231,楼层好 精装修交付 纯边套 采光视野辽阔 户型方正,https://hz.lianjia.com/ershoufang/103124975231.html,悦风荷锦庭 ,义桥,18086元/平,178万,3室2厅 | 98.42平米 | 西 | 精装 | 中楼层(共21层)  | 板楼,2024-08-04 11:21:29
103129350796,地铁口 房东诚售 随时可看 楼层好,https://hz.lianjia.com/ershoufang/103129350796.html,得力名望府 ,萧山开发区,21227元/平,190万,3室2厅 | 89.51平米 | 南 | 毛坯 | 25层  | 板楼,2024-08-04 11:21:29
103131909735,此房满满五唯一，边套横厅户型采光无遮挡精装,https://hz.lianjia.com/ershoufang/103131909735.html,博印名邸 ,萧山开发区,28229元/平,249万,3室2厅 | 88.21平米 | 南 | 精装 | 27层  | 板楼,2024-08-04 11:21:29
103132113280,亚奥板块中间楼幢的中间位置，罕见方正户型南北通,https://hz.lianjia.com/ershoufang/103132113280.html,顺发美颂城 ,钱江世纪城,31225元/平,305万,3室2厅 | 97.68平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-04 11:21:29
103130080435,近奥体！晴瑞里97方大三房 双阳台，诚心卖！价格可谈,https://hz.lianjia.com/ershoufang/103130080435.html,景瑞晴海 ,钱江世纪城,27398元/平,268万,3室2厅 | 97.82平米 | 南 北 | 精装 | 26层  | 板楼,2024-08-04 11:21:29
103127692583,钱江世纪城旁，高品质次新小区，3房2卫，诚售,https://hz.lianjia.com/ershoufang/103127692583.html,景瑞晴海 ,钱江世纪城,26199元/平,258万,3室2厅 | 98.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-04 11:21:29
103131933743,银河北干  东边套大三房户型  拎包入住,https://hz.lianjia.com/ershoufang/103131933743.html,萧悦中御府 ,萧山新城区,30882元/平,340万,3室2厅 | 110.1平米 | 南 | 精装 | 33层  | 板楼,2024-08-04 11:21:29
103131659062,无增值税中高楼层东边套自住精装修大四房,https://hz.lianjia.com/ershoufang/103131659062.html,澜颂奥府 ,萧山新城区,40556元/平,470万,4室2厅 | 115.89平米 | 南 | 精装 | 27层  | 板楼,2024-08-04 11:21:29
103134273753,高层边套 视野开阔无遮挡 精装带地暖 看房方便 带车位,https://hz.lianjia.com/ershoufang/103134273753.html,顺发江南丽锦 ,钱江世纪城,43707元/平,608万,5室2厅 | 139.11平米 | 南 | 精装 | 30层  | 板塔结合,2024-08-04 11:21:29
103133458638,市北版块儿---低总价70年住宅产权,https://hz.lianjia.com/ershoufang/103133458638.html,嘉利公寓 ,萧山新城区,17440元/平,79万,1室1厅 | 45.3平米 | 北 | 简装 | 8层  | 板楼,2024-08-04 11:21:29
103121163673,房子满五不唯一，精装修25万，房东诚心出售,https://hz.lianjia.com/ershoufang/103121163673.html,金域兰庭 ,义桥,17806元/平,160万,3室2厅 | 89.86平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2024-08-04 11:21:29
103134155022,次新小区，一梯两户，纯边套，大横厅，自住精装,https://hz.lianjia.com/ershoufang/103134155022.html,东旭府 ,义桥,18377元/平,165万,3室2厅 | 89.79平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,2024-08-04 11:21:29
103124483714,东旭府 精装修4房 楼层好 户型南北通,https://hz.lianjia.com/ershoufang/103124483714.html,东旭府 ,义桥,16669元/平,200万,4室2厅 | 119.99平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-04 11:21:29
103133880598,融创品质地铁口，诚心出售，精装修，价格可谈,https://hz.lianjia.com/ershoufang/103133880598.html,融创东南海 ,萧山开发区,26681元/平,235万,3室2厅 | 88.08平米 | 南 | 简装 | 27层  | 板塔结合,2024-08-04 11:21:29
103132319983,四叶草经典户型 格局视野宽阔 采光充足  年中旬满二年,https://hz.lianjia.com/ershoufang/103132319983.html,澄之华庭北区 ,钱江世纪城,61750元/平,920万,4室2厅 | 148.99平米 | 南 | 精装 | 25层  | 板楼,2024-08-04 11:21:29
103132485996,楼下地铁7号线精装修，4.5米层高,https://hz.lianjia.com/ershoufang/103132485996.html,英冠乐创城 ,萧山新城区,21001元/平,89万,2室1厅 | 42.38平米 | 北 | 精装 | 21层  | 板楼,2024-08-04 11:21:29
103132096145,龙湖春江悦茗 中高楼层 诚心出售,https://hz.lianjia.com/ershoufang/103132096145.html,龙湖旭辉春江悦茗 ,萧山新城区,36855元/平,299万,3室2厅 | 81.13平米 | 南 | 简装 | 30层  | 板塔结合,2024-08-04 11:21:29
103132944938,雅逸府业主自住精装修，看房方便，诚心出售等待有缘人,https://hz.lianjia.com/ershoufang/103132944938.html,中铁诺德雅逸府 ,萧山开发区,26981元/平,235万,3室1厅 | 87.1平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,2024-08-04 11:21:29
103123446408,五号线地铁 旁，精装全屋定制精装修，采光好,https://hz.lianjia.com/ershoufang/103123446408.html,得力名望府 ,萧山开发区,22995元/平,205万,4室2厅 | 89.15平米 | 南 | 精装 | 25层  | 板楼,2024-08-04 11:21:29
103133384826,江南学府 中高楼层 采光视线好 诚心出售,https://hz.lianjia.com/ershoufang/103133384826.html,融信江南学府 ,萧山新城区,38915元/平,340万,3室2厅 | 87.37平米 | 南 | 简装 | 33层  | 板楼,2024-08-04 11:21:29
103131846871,南阳地铁口 95方三房两卫 东边套 诚心,https://hz.lianjia.com/ershoufang/103131846871.html,阅杭里 ,大江东,18529元/平,176万,3室2厅 | 94.99平米 | 南 北 | 精装 | 10层  | 板楼,2024-08-04 11:21:29
103119482335,绿城打造 精装交付 有车位，高楼层，视野好，,https://hz.lianjia.com/ershoufang/103119482335.html,绿城九龙仓桂语江南 ,萧山新城区,48264元/平,460万,3室2厅 | 95.31平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,2024-08-04 11:21:29
103125636477,奥体板块精工之作，碧桂园开发，滨江物业，两梯两户,https://hz.lianjia.com/ershoufang/103125636477.html,柏峰珑悦府 ,钱江世纪城,45553元/平,548万,3室2厅 | 120.3平米 | 南 | 精装 | 18层  | 板楼,2024-08-04 11:21:29
103134575192,奥体洋房，前排无遮挡，随时看房，诚心出售！,https://hz.lianjia.com/ershoufang/103134575192.html,顺发美哉美城 ,钱江世纪城,52874元/平,438万,3室2厅 | 82.84平米 | 南 | 简装 | 14层  | 板楼,2024-08-04 11:21:29
103134127685,西边套横厅精装修，客厅宽绰，楼层好，太阳无遮无拦,https://hz.lianjia.com/ershoufang/103134127685.html,世纪之光 ,钱江世纪城,47208元/平,596万,4室1厅 | 126.25平米 | 南 | 精装 | 17层  | 板楼,2024-08-04 11:21:29
103133414838,"主推房源，市北滨江开发品质小区,楼层好全新未住人！",https://hz.lianjia.com/ershoufang/103133414838.html,滨江滨涛映月 ,萧山新城区,37117元/平,400万,3室2厅 | 107.77平米 | 南 | 精装 | 26层  | 板塔结合,2024-08-04 11:21:29
103134506460,电梯洋房 通透全明户型 精装27万 领包入住税费少,https://hz.lianjia.com/ershoufang/103134506460.html,滨江江南之星 ,萧山新城区,52316元/平,470万,3室2厅 | 89.84平米 | 南 | 精装 | 9层  | 板楼,2024-08-04 11:21:29
103134137848,业主自住精装 现代装修风格 楼层采光好 诚心出售,https://hz.lianjia.com/ershoufang/103134137848.html,华瑞晴庐 ,萧山新城区,30590元/平,275万,3室2厅 | 89.9平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2024-08-04 11:21:29
103131801360,不靠高架，高得房率，三联阳台，好楼层,https://hz.lianjia.com/ershoufang/103131801360.html,阳光城滨奥悦府 ,钱江世纪城,61420元/平,650万,3室2厅 | 105.83平米 | 南 | 精装 | 17层  | 板楼,2024-08-04 11:21:29
