近地铁 配套成熟 自住精装 中间楼层 业主置换诚售,https://hz.lianjia.com/ershoufang/103131846262.html,恒大帝景 ,南部卧城,26870元/平,368万,5室2厅 | 136.96平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
世纪城板块，精装修带地暖 中高楼层  满五唯一,https://hz.lianjia.com/ershoufang/103125677599.html,柏峰珑悦府 ,钱江世纪城,51999元/平,730万,4室2厅 | 140.39平米 | 南 北 | 精装 | 18层  | 板楼,2024-08-01 23:04:00
钱江世纪城板块，崇文杭二中旁，开发商精装修。,https://hz.lianjia.com/ershoufang/103133853655.html,世纪之光 ,钱江世纪城,40661元/平,330万,3室1厅 | 81.16平米 | 南 | 精装 | 17层  | 板楼,2024-08-01 23:04:00
招商闻博花城，满二，四叶草大平层，装修好。,https://hz.lianjia.com/ershoufang/103130889235.html,闻博花城 ,萧山新城区,42187元/平,639万,4室2厅 | 151.47平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-01 23:04:00
诚心卖房高楼层视野很赞含泪卖 随时看房,https://hz.lianjia.com/ershoufang/103126113665.html,金色钱塘 ,萧山新城区,26267元/平,338万,3室2厅 | 128.68平米 | 南 | 精装 | 31层  | 板塔结合,2024-08-01 23:04:00
次新小区，开发商精装修交房，未入住过，环境好,https://hz.lianjia.com/ershoufang/103121202909.html,宸宇府 ,南部卧城,22798元/平,235万,3室2厅 | 103.08平米 | 南 | 精装 | 33层  | 板塔结合,2024-08-01 23:04:00
房东诚售 满二税费少 精装全新无入住 次新小区,https://hz.lianjia.com/ershoufang/103134293693.html,湖悦章府 ,南部卧城,27716元/平,270万,3室2厅 | 97.42平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 23:04:00
精装修，位置好，楼层好，地铁口,https://hz.lianjia.com/ershoufang/103129586569.html,众安朝阳8号 ,南部卧城,28300元/平,253万,3室2厅 | 89.4平米 | 南 | 精装 | 33层  | 塔楼,2024-08-01 23:04:00
"近滨江,房子全新没住过,适合当婚房,诚心出售价格可谈",https://hz.lianjia.com/ershoufang/103132805942.html,乐虹湾 ,湘湖,37171元/平,330万,3室2厅 | 88.78平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-01 23:04:00
诚心售 满五唯一 位置佳 尽揽白马湖畔山水美景,https://hz.lianjia.com/ershoufang/103134398958.html,旭辉滨江东方悦府 ,湘湖,29549元/平,260万,3室2厅 | 87.99平米 | 南 | 精装 | 20层  | 板楼,2024-08-01 23:04:00
银泰城旁，满二，精装修，拎包入住，双阳台，南北通透,https://hz.lianjia.com/ershoufang/103130946084.html,禹洲泊朗廷 ,南部卧城,24524元/平,288万,3室2厅 | 117.44平米 | 南 北 | 精装 | 33层  | 板楼,2024-08-01 23:04:00
中间楼层 视野好 采光好 诚心卖,https://hz.lianjia.com/ershoufang/103131281000.html,景宸天玺名城 ,萧山新城区,40328元/平,355万,3室2厅 | 88.03平米 | 南 | 毛坯 | 34层  | 板楼,2024-08-01 23:04:00
次新电梯房，配套成熟，精装修，可拎包住，满五唯一,https://hz.lianjia.com/ershoufang/103127069524.html,科尔南城嘉园 ,南部卧城,15466元/平,132万,3室1厅 | 85.35平米 | 南 | 精装 | 12层  | 板楼,2024-08-01 23:04:00
二五号双地铁 采光好 业主诚心卖，银河北干双 学府,https://hz.lianjia.com/ershoufang/103131929639.html,北干一苑 ,萧山市区,25970元/平,150万,2室1厅 | 57.76平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,2024-08-01 23:04:00
高楼层 中间套 三居室 诚心卖 看不到公墓,https://hz.lianjia.com/ershoufang/103132063077.html,乐虹湾 ,湘湖,37905元/平,340万,3室1厅 | 89.7平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-01 23:04:00
纯地铁口  精装修 全天采光 无遮挡三开间朝南,https://hz.lianjia.com/ershoufang/103124297073.html,博印名邸 ,萧山开发区,24776元/平,215万,3室2厅 | 86.78平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 23:04:00
建设三路双地铁口，户型好 业主诚心卖，,https://hz.lianjia.com/ershoufang/103134745823.html,中誉万豪广场 ,萧山新城区,10515元/平,110万,2室1厅 | 104.62平米 | 南 | 简装 | 28层  | 板楼,2024-08-01 23:04:00
房东诚心出售，中高楼层，视野采光好，现代化精装修,https://hz.lianjia.com/ershoufang/103126967533.html,华瑞晴庐 ,萧山新城区,31105元/平,268万,3室2厅 | 86.16平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2024-08-01 23:04:00
近世纪城，边套精装带地暖三居室，采光很好,https://hz.lianjia.com/ershoufang/103129267502.html,景瑞晴海 ,钱江世纪城,26768元/平,265万,3室2厅 | 99平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
望涛月明 滨江品质 精装修全明户型 业主诚售,https://hz.lianjia.com/ershoufang/103133543918.html,滨江望涛月明 ,萧山新城区,30525元/平,330万,3室2厅 | 108.11平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 23:04:00
满二年，实用四房市北滨江品质小区，采光视野开阔,https://hz.lianjia.com/ershoufang/103133226113.html,庆丰拥涛府 ,萧山新城区,40337元/平,479万,4室2厅 | 118.75平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,2024-08-01 23:04:00
70年产权，此房近地铁，银河实验、北干,https://hz.lianjia.com/ershoufang/103130471059.html,中誉现代城 ,萧山新城区,18426元/平,99万,1室0厅 | 53.73平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,2024-08-01 23:04:00
龙湖春江悦茗 中高楼层 诚心出售,https://hz.lianjia.com/ershoufang/103132096145.html,龙湖旭辉春江悦茗 ,萧山新城区,36855元/平,299万,3室2厅 | 81.13平米 | 南 | 简装 | 30层  | 板塔结合,2024-08-01 23:04:00
小高层三房户型 客厅朝南带阳台 满五唯一 高楼层看江,https://hz.lianjia.com/ershoufang/103134007317.html,江南摩卡 ,闻堰,21477元/平,229万,3室2厅 | 106.63平米 | 南 | 简装 | 中楼层(共14层)  | 板楼,2024-08-01 23:04:00
上新房源，高楼层！有车位，纯毛坯，没有住过人！,https://hz.lianjia.com/ershoufang/103134586090.html,钱江蓝湾 ,萧山科技城,22494元/平,190万,3室1厅 | 84.47平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,2024-08-01 23:04:00
钱江世纪城 刚需三房 房东自住精装,https://hz.lianjia.com/ershoufang/103131438114.html,顺发康庄 ,钱江世纪城,23686元/平,210万,3室2厅 | 88.66平米 | 南 | 精装 | 29层  | 板楼,2024-08-01 23:04:00
西边套大阳台 精装修 西门口安静 采光好,https://hz.lianjia.com/ershoufang/103128100658.html,汝悦美境府 ,钱江世纪城,30454元/平,332万,3室2厅 | 109.02平米 | 南 | 精装 | 17层  | 板楼,2024-08-01 23:04:00
户型好 诚心出售 15号线地铁口,https://hz.lianjia.com/ershoufang/103131385078.html,奥园 ,南部卧城,25858元/平,224万,3室2厅 | 86.63平米 | 南 | 简装 | 低楼层(共34层)  | 塔楼,2024-08-01 23:04:00
7号线地铁口此房满二唯一，精装修三开间朝南诚心出售,https://hz.lianjia.com/ershoufang/103131839797.html,中铁诺德雅逸府 ,萧山开发区,22812元/平,202万,3室2厅 | 88.55平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,2024-08-01 23:04:00
C位楼中间套客厅带阳台自住精心装修40万 拓展面积22方,https://hz.lianjia.com/ershoufang/103131850795.html,华瑞晴庐 ,萧山新城区,32831元/平,285万,3室2厅 | 86.81平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2024-08-01 23:04:00
高桥初衷！高品质小区满五唯一户型楼层好采光好,https://hz.lianjia.com/ershoufang/103129955255.html,得力名门世家 ,南部卧城,41080元/平,370万,4室2厅 | 90.07平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2024-08-01 23:04:00
精装修的，4.5米层高 诚心出售 价格可以谈,https://hz.lianjia.com/ershoufang/103124025921.html,百富联合国际奥体之星 ,钱江世纪城,14376元/平,66万,2室1厅 | 45.91平米 | 南 西 | 精装 | 低楼层(共18层)  | 塔楼,2024-08-01 23:04:00
开发商精装交付，楼幢好，楼层好，诚心出售,https://hz.lianjia.com/ershoufang/103131271089.html,青漫里 ,南部卧城,25310元/平,235万,3室2厅 | 92.85平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,2024-08-01 23:04:00
视野好的 新交付小区 环境好 楼层好,https://hz.lianjia.com/ershoufang/103132712512.html,德信金科泊岸江宸轩 ,南部卧城,16934元/平,182万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-01 23:04:00
浙二旁十五号线地铁口精装两房诚心出售,https://hz.lianjia.com/ershoufang/103130511336.html,南润名座 ,南部卧城,10884元/平,109万,2室2厅 | 100.15平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,2024-08-01 23:04:00
南北通透格局，精装交付，楼层好，采光好。,https://hz.lianjia.com/ershoufang/103118549152.html,东旭府 ,义桥,16585元/平,199万,4室2厅 | 119.99平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2024-08-01 23:04:00
房东诚心卖，楼层好，满五唯一税费少，看房方便,https://hz.lianjia.com/ershoufang/103126595107.html,德信君宸 ,萧山新城区,38604元/平,345万,3室2厅 | 89.37平米 | 南 | 简装 | 21层  | 板楼,2024-08-01 23:04:00
繁华地带，配套齐，各大综合体齐聚左右500米内,https://hz.lianjia.com/ershoufang/103133669156.html,天润商业中心 ,萧山市区,16602元/平,93万,2室1厅 | 56.02平米 | 北 | 简装 | 低楼层(共22层)  | 板塔结合,2024-08-01 23:04:00
浙二医院边 15号线地铁口 满二唯一 车位可以停两辆车,https://hz.lianjia.com/ershoufang/103122957199.html,德信碧桂园印江南 ,南部卧城,24784元/平,240万,3室2厅 | 96.84平米 | 南 | 毛坯 | 高楼层(共20层)  | 塔楼,2024-08-01 23:04:00
纯边套，房东诚售！买房提供免费设计服务！价格能谈！,https://hz.lianjia.com/ershoufang/103132404961.html,顺发美颂城 ,钱江世纪城,31047元/平,300万,3室1厅 | 96.63平米 | 东 南 北 | 精装 | 中楼层(共18层)  | 板楼,2024-08-01 23:04:00
朝闻花城 南卧品质楼盘 滨江精装修 大三房诚心出售！,https://hz.lianjia.com/ershoufang/103129868404.html,朝闻花城 ,南部卧城,27662元/平,265万,3室2厅 | 95.8平米 | 南 | 精装 | 27层  | 暂无数据,2024-08-01 23:04:00
滨江园林景观，漂亮绿植，自带泳池，环境很不错,https://hz.lianjia.com/ershoufang/103134534689.html,朝闻花城 ,南部卧城,25774元/平,280万,4室2厅 | 108.64平米 | 东南 | 精装 | 18层  | 暂无数据,2024-08-01 23:04:00
5号线姑娘桥站300米，3房2卫中楼层，满五唯一，采光好,https://hz.lianjia.com/ershoufang/103131102697.html,得力名望府 ,萧山开发区,20646元/平,185万,3室2厅 | 89.61平米 | 南 | 简装 | 25层  | 板楼,2024-08-01 23:04:00
精装修 四叶草户型 南北通 中间楼层 税少,https://hz.lianjia.com/ershoufang/103133787208.html,东旭府 ,义桥,16817元/平,198万,4室2厅 | 117.74平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2024-08-01 23:04:00
钱江世纪城板块 振宁路地铁口 大三房 满五年,https://hz.lianjia.com/ershoufang/103119611346.html,恒泰御庭园 ,钱江世纪城,20091元/平,315万,4室2厅 | 156.79平米 | 南 | 精装 | 12层  | 板塔结合,2024-08-01 23:04:00
法式精装，东边套，价格低，诚心卖,https://hz.lianjia.com/ershoufang/103134314926.html,星翠澜庭 ,钱江世纪城,55171元/平,700万,4室2厅 | 126.88平米 | 东 南 | 精装 | 25层  | 板楼,2024-08-01 23:04:00
湘湖美地电梯洋房，精装未住过满五唯一,https://hz.lianjia.com/ershoufang/103126211174.html,华瑞湘湖美地 ,湘湖,22559元/平,325万,3室2厅 | 144.07平米 | 南 | 精装 | 12层  | 板楼,2024-08-01 23:04:00
六楼精装修房子双北干业主诚心出售,https://hz.lianjia.com/ershoufang/103132819874.html,山阴小区 ,萧山市区,26936元/平,119万,2室1厅 | 44.18平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2024-08-01 23:04:00
地铁口上盖，精装修，拎包入住，带地暖，满二,https://hz.lianjia.com/ershoufang/103120380958.html,绿城九龙仓桂语朝阳 ,南部卧城,27329元/平,265万,3室2厅 | 96.97平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2024-08-01 23:04:00
开发商精装交付，楼幢好，楼层好，诚心出售,https://hz.lianjia.com/ershoufang/103131271089.html,青漫里 ,南部卧城,25310元/平,235万,3室2厅 | 92.85平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,2024-08-01 23:04:00
高桥初衷！高品质小区满五唯一户型楼层好采光好,https://hz.lianjia.com/ershoufang/103129955255.html,得力名门世家 ,南部卧城,41080元/平,370万,4室2厅 | 90.07平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2024-08-01 23:04:00
繁华地带，配套齐，各大综合体齐聚左右500米内,https://hz.lianjia.com/ershoufang/103133669156.html,天润商业中心 ,萧山市区,16602元/平,93万,2室1厅 | 56.02平米 | 北 | 简装 | 低楼层(共22层)  | 板塔结合,2024-08-01 23:04:00
房东诚心出售，精装修，楼层采光好，满二,https://hz.lianjia.com/ershoufang/103131572863.html,碧桂园天麓府 ,南部卧城,24167元/平,211万,3室2厅 | 87.31平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
亚运村  万科日耀之城   滨水区大开间朝南4房,https://hz.lianjia.com/ershoufang/103134031157.html,日耀之城 ,钱江世纪城,58260元/平,838万,4室2厅 | 143.84平米 | 南 北 | 精装 | 24层  | 塔楼,2024-08-01 23:04:00
滨江物业，业主诚心出售，楼幢位置安静，采光不遮挡,https://hz.lianjia.com/ershoufang/103131647198.html,兴耀星漫里 ,萧山新城区,39014元/平,375万,3室1厅 | 96.12平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
绿城品质，边套户型，好楼层，精装修，房东诚心出售,https://hz.lianjia.com/ershoufang/103133176515.html,桂语听澜轩 ,萧山新城区,50543元/平,657万,4室2厅 | 129.99平米 | 南 西 北 | 精装 | 高楼层(共26层)  | 板塔结合,2024-08-01 23:04:00
滨江品质 精装修 自住看房方便 低总价,https://hz.lianjia.com/ershoufang/103131289786.html,滨江旭辉滨旭府 ,萧山开发区,20206元/平,195万,3室2厅 | 96.51平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 23:04:00
奥体洋房，前排无遮挡，随时看房，诚心出售！,https://hz.lianjia.com/ershoufang/103134575192.html,顺发美哉美城 ,钱江世纪城,52874元/平,438万,3室2厅 | 82.84平米 | 南 | 简装 | 14层  | 板楼,2024-08-01 23:04:00
朝阳地铁口300米，滨江开发商，品质小区，精装交付,https://hz.lianjia.com/ershoufang/103132358271.html,朝闻花城 ,南部卧城,29094元/平,280万,3室2厅 | 96.24平米 | 南 | 精装 | 27层  | 塔楼,2024-08-01 23:04:00
滨江园林景观，漂亮绿植，自带泳池，环境很不错,https://hz.lianjia.com/ershoufang/103134534689.html,朝闻花城 ,南部卧城,25774元/平,280万,4室2厅 | 108.64平米 | 东南 | 精装 | 18层  | 暂无数据,2024-08-01 23:04:00
朝闻花城 南卧品质楼盘 滨江精装修 大三房诚心出售！,https://hz.lianjia.com/ershoufang/103129868404.html,朝闻花城 ,南部卧城,27662元/平,265万,3室2厅 | 95.8平米 | 南 | 精装 | 27层  | 暂无数据,2024-08-01 23:04:00
店长推荐 一号线南阳地铁  小三房 自住装修，满二,https://hz.lianjia.com/ershoufang/103131743346.html,大诚纪名府 ,大江东,20328元/平,180万,3室2厅 | 88.55平米 | 南 | 精装 | 14层  | 板塔结合,2024-08-01 23:04:00
浙二旁十五号线地铁口精装两房诚心出售,https://hz.lianjia.com/ershoufang/103130511336.html,南润名座 ,南部卧城,10884元/平,109万,2室2厅 | 100.15平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,2024-08-01 23:04:00
C位楼中间套客厅带阳台自住精心装修40万 拓展面积22方,https://hz.lianjia.com/ershoufang/103131850795.html,华瑞晴庐 ,萧山新城区,32831元/平,285万,3室2厅 | 86.81平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2024-08-01 23:04:00
房东诚心卖，楼层好，满五唯一税费少，看房方便,https://hz.lianjia.com/ershoufang/103126595107.html,德信君宸 ,萧山新城区,38604元/平,345万,3室2厅 | 89.37平米 | 南 | 简装 | 21层  | 板楼,2024-08-01 23:04:00
浙二医院边 15号线地铁口 满二唯一 车位可以停两辆车,https://hz.lianjia.com/ershoufang/103122957199.html,德信碧桂园印江南 ,南部卧城,24784元/平,240万,3室2厅 | 96.84平米 | 南 | 毛坯 | 高楼层(共20层)  | 塔楼,2024-08-01 23:04:00
纯边套，房东诚售！买房提供免费设计服务！价格能谈！,https://hz.lianjia.com/ershoufang/103132404961.html,顺发美颂城 ,钱江世纪城,31047元/平,300万,3室1厅 | 96.63平米 | 东 南 北 | 精装 | 中楼层(共18层)  | 板楼,2024-08-01 23:04:00
满二唯一 楼层好  保养好 房东诚心出售看房有密码,https://hz.lianjia.com/ershoufang/103132100274.html,通惠江南名府 ,萧山新城区,30761元/平,275万,3室1厅 | 89.4平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2024-08-01 23:04:00
视野好的 新交付小区 环境好 楼层好,https://hz.lianjia.com/ershoufang/103132712512.html,德信金科泊岸江宸轩 ,南部卧城,16934元/平,182万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-01 23:04:00
南北通透格局，精装交付，楼层好，采光好。,https://hz.lianjia.com/ershoufang/103118549152.html,东旭府 ,义桥,16585元/平,199万,4室2厅 | 119.99平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2024-08-01 23:04:00
博印名邸 7号线地铁口 精装修三房，低总价，诚心卖,https://hz.lianjia.com/ershoufang/103131409409.html,博印名邸 ,萧山开发区,26420元/平,215万,3室2厅 | 81.38平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
精装修的，4.5米层高 诚心出售 价格可以谈,https://hz.lianjia.com/ershoufang/103124025921.html,百富联合国际奥体之星 ,钱江世纪城,14376元/平,66万,2室1厅 | 45.91平米 | 南 西 | 精装 | 低楼层(共18层)  | 塔楼,2024-08-01 23:04:00
党山镇上低价格优质好房，房东诚心出售,https://hz.lianjia.com/ershoufang/103125651477.html,新街路 ,大江东,7312元/平,48万,2室1厅 | 65.65平米 | 东 西 | 简装 | 中楼层(共5层)  | 板楼,2024-08-01 23:04:00
日耀之城 250方高楼层 270度采光 可看城市景观,https://hz.lianjia.com/ershoufang/103134032370.html,日耀之城 ,钱江世纪城,71992元/平,1800万,4室2厅 | 250.03平米 | 南 | 精装 | 37层  | 板塔结合,2024-08-01 23:04:00
刚交付的萧山次新房，包大税，精装修采光好楼层好,https://hz.lianjia.com/ershoufang/103131917697.html,德信金科泊岸江宸轩 ,南部卧城,17041元/平,183万,3室2厅 | 107.39平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-01 23:04:00
双地铁滨江盘 双泳池加会所 中轴景观 满二自己住,https://hz.lianjia.com/ershoufang/103133158347.html,宁东拥潮府 ,萧山新城区,44951元/平,580万,4室2厅 | 129.03平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 23:04:00
满五年，边套，南北通透，户型全明，拓展20方，诚心卖,https://hz.lianjia.com/ershoufang/103132384607.html,恒大帝景 ,南部卧城,24551元/平,220万,3室2厅 | 89.61平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
小高层电梯房 双金山 近地铁 配套齐全 不沿马路 诚售,https://hz.lianjia.com/ershoufang/103133883158.html,金浦明苑西区 ,萧山新城区,23708元/平,360万,3室2厅 | 151.85平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,2024-08-01 23:04:00
蜀山，广宁小区，76方，户型方正，中间楼层，满五唯一,https://hz.lianjia.com/ershoufang/103133381354.html,广宁小区 ,南部卧城,18975元/平,145万,2室2厅 | 76.42平米 | 南 | 精装 | 6层  | 平房,2024-08-01 23:04:00
楼层，视野好没住过 价格可以谈 诚心出售 随时看房,https://hz.lianjia.com/ershoufang/103125377523.html,嘉宸天誉名轩 ,萧山新城区,46855元/平,420万,3室2厅 | 89.64平米 | 南 | 精装 | 34层  | 板楼,2024-08-01 23:04:00
5号地铁 3房精装 不靠高架不靠山 好楼层 看房方便,https://hz.lianjia.com/ershoufang/103133010001.html,得力名望府 ,萧山开发区,23212元/平,208万,3室2厅 | 89.61平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 23:04:00
业主自住精装 现代装修风格 楼层采光好 诚心出售,https://hz.lianjia.com/ershoufang/103134137848.html,华瑞晴庐 ,萧山新城区,30590元/平,275万,3室2厅 | 89.9平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2024-08-01 23:04:00
银河北干  东边套大三房户型  拎包入住,https://hz.lianjia.com/ershoufang/103131933743.html,萧悦中御府 ,萧山新城区,30882元/平,340万,3室2厅 | 110.1平米 | 南 | 精装 | 33层  | 板楼,2024-08-01 23:04:00
满五唯一，多层洋房，视野好，房东急售,https://hz.lianjia.com/ershoufang/103128432894.html,华瑞湘湖美地 ,湘湖,23799元/平,300万,3室2厅 | 126.06平米 | 南 | 简装 | 7层  | 板楼,2024-08-01 23:04:00
滨江品质   精装修三房    东边套   诚心出售,https://hz.lianjia.com/ershoufang/103125162133.html,悦潮府 ,萧山新城区,35861元/平,350万,3室2厅 | 97.6平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,2024-08-01 23:04:00
70年产权 小户型 朝南 满五年 高楼层 江景房,https://hz.lianjia.com/ershoufang/103131806623.html,三江花园(萧山) ,闻堰,22370元/平,135万,2室1厅 | 60.35平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,2024-08-01 23:04:00
五房开发商精装修，一梯两户，未入住，有车位两个。,https://hz.lianjia.com/ershoufang/103120918491.html,滨江江南之星 ,萧山新城区,58270元/平,810万,5室2厅 | 139.01平米 | 南 | 精装 | 11层  | 板楼,2024-08-01 23:04:00
五开间朝南，自住精装，房东诚心出售，大五房户型,https://hz.lianjia.com/ershoufang/103132334397.html,中旅名门府新境 ,萧山新城区,40598元/平,720万,5室2厅 | 177.35平米 | 南 西 北 | 精装 | 中楼层(共26层)  | 板塔结合,2024-08-01 23:04:00
好楼层户型好价格可以谈的看房子有密码,https://hz.lianjia.com/ershoufang/103134621188.html,碧桂园天麓府 ,南部卧城,21662元/平,189万,2室1厅 | 87.25平米 | 南 | 毛坯 | 26层  | 板楼,2024-08-01 23:04:00
德信君宸，中间楼层正对小区景观花园，户型方正随时看,https://hz.lianjia.com/ershoufang/103132061002.html,德信君宸 ,萧山新城区,35798元/平,292万,3室1厅 | 81.57平米 | 南 | 精装 | 23层  | 板楼,2024-08-01 23:04:00
地铁口，诚心出售，视野宽阔，交通便利,https://hz.lianjia.com/ershoufang/103132276513.html,萧悦中御府 ,萧山新城区,30420元/平,270万,3室2厅 | 88.76平米 | 南 | 精装 | 33层  | 板楼,2024-08-01 23:04:00
诚心卖一线江景 视野好 大小莲花尽收眼底,https://hz.lianjia.com/ershoufang/103128454229.html,保亿绿城奥邸国际 ,奥体,105493元/平,1965万,4室2厅 | 186.27平米 | 南 | 精装 | 中楼层(共48层)  | 板楼,2024-08-01 23:04:00
金色钱塘三期，精装修带地暖，保养好 可直接入住,https://hz.lianjia.com/ershoufang/103132425082.html,金色钱塘 ,萧山新城区,27894元/平,341万,4室2厅 | 122.25平米 | 南 | 精装 | 24层  | 板塔结合,2024-08-01 23:04:00
不靠高架，户型方正，楼层好，房东诚心。,https://hz.lianjia.com/ershoufang/103132249213.html,泰悦银座 ,义桥,13320元/平,128万,3室2厅 | 96.1平米 | 东南 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,2024-08-01 23:04:00
江南学府 中高楼层 采光视线好 诚心出售,https://hz.lianjia.com/ershoufang/103133384826.html,融信江南学府 ,萧山新城区,38915元/平,340万,3室2厅 | 87.37平米 | 南 | 简装 | 33层  | 板楼,2024-08-01 23:04:00
户型方正，西边套 视野好 可看钱塘江,https://hz.lianjia.com/ershoufang/103134166568.html,日耀之城 ,钱江世纪城,57030元/平,720万,4室2厅 | 126.25平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
边套户型的好楼层 满五唯一的.,https://hz.lianjia.com/ershoufang/103128683719.html,恒大帝景 ,南部卧城,28066元/平,252万,3室2厅 | 89.79平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
浙二医院近，楼层好 满5唯一 带精装家具家电35万＋,https://hz.lianjia.com/ershoufang/103133635166.html,碧桂园天麓府 ,南部卧城,24787元/平,215万,3室2厅 | 86.74平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
君品名邸 滨江品质 好楼层 景观位置 5室改善 诚心,https://hz.lianjia.com/ershoufang/103127158297.html,君品名邸 ,钱江世纪城,62642元/平,1080万,5室2厅 | 172.41平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 23:04:00
业主诚心出售 采光充足 视野宽阔,https://hz.lianjia.com/ershoufang/103132216873.html,南城景园 ,南部卧城,16031元/平,139万,3室2厅 | 86.71平米 | 南 | 精装 | 6层  | 板楼,2024-08-01 23:04:00
带电梯，边套159方4房2卫 带全新精装80万,https://hz.lianjia.com/ershoufang/103132771879.html,美之园西区 ,湘湖,23668元/平,378万,4室2厅 | 159.71平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2024-08-01 23:04:00
满五唯一，近地铁，业主诚售，电梯房小户型,https://hz.lianjia.com/ershoufang/103133943558.html,中誉现代城 ,萧山新城区,21460元/平,100万,1室1厅 | 46.6平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,2024-08-01 23:04:00
边套户型，业主诚售，看房很方便.,https://hz.lianjia.com/ershoufang/103128905212.html,滨江御虹府 ,钱江世纪城,55285元/平,658万,4室2厅 | 119.02平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
满二唯一 楼层好  保养好 房东诚心出售看房有密码,https://hz.lianjia.com/ershoufang/103132100274.html,通惠江南名府 ,萧山新城区,30761元/平,275万,3室1厅 | 89.4平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2024-08-01 23:04:00
五号线地铁 全新精装修 西边套户型 看房方便 楼层好,https://hz.lianjia.com/ershoufang/103132514677.html,花栖云境里 ,萧山开发区,21915元/平,255万,4室2厅 | 116.36平米 | 南 北 | 精装 | 高楼层(共16层)  | 暂无数据,2024-08-01 23:04:00
视野好的 新交付小区 环境好 楼层好,https://hz.lianjia.com/ershoufang/103132712512.html,德信金科泊岸江宸轩 ,南部卧城,16934元/平,182万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-01 23:04:00
纯边套，房东诚售！买房提供免费设计服务！价格能谈！,https://hz.lianjia.com/ershoufang/103132404961.html,顺发美颂城 ,钱江世纪城,31047元/平,300万,3室1厅 | 96.63平米 | 东 南 北 | 精装 | 中楼层(共18层)  | 板楼,2024-08-01 23:04:00
店长推荐 一号线南阳地铁  小三房 自住装修，满二,https://hz.lianjia.com/ershoufang/103131743346.html,大诚纪名府 ,大江东,20328元/平,180万,3室2厅 | 88.55平米 | 南 | 精装 | 14层  | 板塔结合,2024-08-01 23:04:00
南北通透格局，精装交付，楼层好，采光好。,https://hz.lianjia.com/ershoufang/103118549152.html,东旭府 ,义桥,16585元/平,199万,4室2厅 | 119.99平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2024-08-01 23:04:00
