地铁口  毛坯房 50平方私家花园 上下两层叠墅,https://hz.lianjia.com/ershoufang/103133089659.html,云彩之城 ,萧山开发区,39569元/平,400万,3室2厅 | 101.09平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 暂无数据,2024-08-03 23:10:28
金色钱塘三期，精装修带地暖，保养好 可直接入住,https://hz.lianjia.com/ershoufang/103132425082.html,金色钱塘 ,萧山新城区,27894元/平,341万,4室2厅 | 122.25平米 | 南 | 精装 | 24层  | 板塔结合,2024-08-03 23:10:28
银泰旁，边套户型，精装修，拎包入住。,https://hz.lianjia.com/ershoufang/103119939089.html,星南站 ,南部卧城,14875元/平,52万,2室1厅 | 34.96平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,2024-08-03 23:10:28
英冠乐创城 2室1厅 北,https://hz.lianjia.com/ershoufang/103134475119.html,英冠乐创城 ,萧山新城区,22317元/平,95万,2室1厅 | 42.57平米 | 北 | 精装 | 21层  | 板楼,2024-08-03 23:10:28
双金山 地铁口 跃层毛坯顶楼带花园  看房方便,https://hz.lianjia.com/ershoufang/103134488363.html,金地德圣中心 ,萧山市区,47298元/平,420万,3室2厅 | 88.8平米 | 南 | 毛坯 | 27层  | 板楼,2024-08-03 23:10:28
萧山科技城机器人小镇旁有阳台天然气自用随时看房,https://hz.lianjia.com/ershoufang/103125162840.html,鸿兴城巧克力公馆 ,萧山开发区,10159元/平,85万,2室1厅 | 83.67平米 | 西南 | 精装 | 9层  | 塔楼,2024-08-03 23:10:28
博奥城 地铁500米 自住精装 边套大五房 拎包入住,https://hz.lianjia.com/ershoufang/103133713432.html,德圣博奥城 ,萧山新城区,40824元/平,545万,5室1厅 | 133.5平米 | 南 | 精装 | 24层  | 板楼,2024-08-03 23:10:28
蜀山，广宁小区，76方，户型方正，中间楼层，满五唯一,https://hz.lianjia.com/ershoufang/103133381354.html,广宁小区 ,南部卧城,18975元/平,145万,2室2厅 | 76.42平米 | 南 | 精装 | 6层  | 平房,2024-08-03 23:10:28
世纪城小洋房！楼层视野采光好 四方两厅全明格局户型,https://hz.lianjia.com/ershoufang/103133980455.html,翡翠江南华庭 ,钱江世纪城,41533元/平,530万,4室2厅 | 127.61平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-03 23:10:28
5号线姑娘桥站300米，精装修边套横厅，诚心出售好楼层,https://hz.lianjia.com/ershoufang/103130079717.html,云彩之城 ,萧山开发区,22715元/平,248万,4室2厅 | 109.18平米 | 南 | 精装 | 18层  | 暂无数据,2024-08-03 23:10:28
低总价的精装修小两房，诚心出售,https://hz.lianjia.com/ershoufang/103134068179.html,阳光城上府 ,西兴,33932元/平,246万,2室1厅 | 72.5平米 | 南 | 精装 | 34层  | 板楼,2024-08-03 23:10:28
低总价，好楼层，业主诚心出售，看房方便,https://hz.lianjia.com/ershoufang/103131419113.html,新城璟隽公馆 ,萧山新城区,12776元/平,40万,1室1厅 | 31.31平米 | 东 | 精装 | 低楼层(共16层)  | 板楼,2024-08-03 23:10:28
诚心出售，近地铁，电梯房，两房朝南，阳光充足。,https://hz.lianjia.com/ershoufang/103131492539.html,广泽小区 ,南部卧城,17874元/平,133万,2室2厅 | 74.41平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,2024-08-03 23:10:28
地铁口东边套户型好有电梯带地面大车库诚售随时看房,https://hz.lianjia.com/ershoufang/103132968221.html,恒泰御庭园 ,钱江世纪城,22967元/平,310万,3室2厅 | 134.98平米 | 南 | 简装 | 6层  | 板塔结合,2024-08-03 23:10:28
房东已看好新房 常规低价诚心出售 满二 大阳台次新房,https://hz.lianjia.com/ershoufang/103125266806.html,融信杭州世纪 ,萧山新城区,45253元/平,580万,4室2厅 | 128.17平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,2024-08-03 23:10:28
西东边套大三房，带精装修，户型方正，楼层佳，采光好,https://hz.lianjia.com/ershoufang/103129725284.html,湘湖人家 ,闻堰,22307元/平,265万,3室2厅 | 118.8平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-03 23:10:28
店长推荐 一号线南阳地铁  小三房 自住装修，满二,https://hz.lianjia.com/ershoufang/103131743346.html,大诚纪名府 ,大江东,20328元/平,180万,3室2厅 | 88.55平米 | 南 | 精装 | 14层  | 板塔结合,2024-08-03 23:10:28
开发商精装交付，楼幢好，楼层好，诚心出售,https://hz.lianjia.com/ershoufang/103131271089.html,青漫里 ,南部卧城,25310元/平,235万,3室2厅 | 92.85平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,2024-08-03 23:10:28
博印名邸 7号线地铁口 精装修三房，低总价，诚心卖,https://hz.lianjia.com/ershoufang/103131409409.html,博印名邸 ,萧山开发区,26420元/平,215万,3室2厅 | 81.38平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
带大露台，精装修大三房，舒适宜居带生活综合体,https://hz.lianjia.com/ershoufang/103130307977.html,顺发美颂城 ,钱江世纪城,30583元/平,305万,3室2厅 | 99.73平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-03 23:10:28
好楼层，精装修，房东诚心出售。,https://hz.lianjia.com/ershoufang/103133518206.html,恒大帝景 ,南部卧城,24555元/平,208万,3室2厅 | 84.71平米 | 南 | 精装 | 30层  | 板楼,2024-08-03 23:10:28
日耀之城     126方      四房两卫,https://hz.lianjia.com/ershoufang/103134342770.html,日耀之城 ,钱江世纪城,54417元/平,690万,4室2厅 | 126.8平米 | 南 | 精装 | 30层  | 板楼,2024-08-03 23:10:28
市北品质小区 滨江双子 此房视野好位置安静  看房方便,https://hz.lianjia.com/ershoufang/103133963790.html,滨江望涛月明 ,萧山新城区,38367元/平,495万,4室2厅 | 129.02平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-03 23:10:28
3开间朝南，高楼层，采光好，自住装修，拎包入住,https://hz.lianjia.com/ershoufang/103126805035.html,金昌春和钱塘 ,钱江世纪城,42192元/平,365万,3室2厅 | 86.51平米 | 南 | 精装 | 23层  | 板塔结合,2024-08-03 23:10:28
云彩之城 4室2厅 南 西,https://hz.lianjia.com/ershoufang/103131839615.html,云彩之城 ,萧山开发区,21691元/平,299万,4室2厅 | 137.85平米 | 南 西 | 精装 | 中楼层(共18层)  | 板楼,2024-08-03 23:10:28
视野好的 新交付小区 环境好 楼层好,https://hz.lianjia.com/ershoufang/103132712512.html,德信金科泊岸江宸轩 ,南部卧城,16934元/平,182万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-03 23:10:28
万科开发，位置好，房子性 价比高，看房随时。,https://hz.lianjia.com/ershoufang/103134422068.html,日耀之城 ,钱江世纪城,55014元/平,790万,4室2厅 | 143.6平米 | 南 | 精装 | 30层  | 塔楼,2024-08-03 23:10:28
江景西边套，窗外景观美如宫崎骏或者毕加索的画,https://hz.lianjia.com/ershoufang/103134311408.html,日耀之城 ,钱江世纪城,62085元/平,1550万,4室2厅 | 249.66平米 | 南 | 精装 | 36层  | 板塔结合,2024-08-03 23:10:28
"2号线曹家桥站，楼层好，视野好，有电梯,满二年",https://hz.lianjia.com/ershoufang/103130974070.html,广悦公寓 ,南部卧城,18950元/平,238万,3室2厅 | 125.6平米 | 南 | 毛坯 | 26层  | 板楼,2024-08-03 23:10:28
银泰城旁，双阳台，从未租住，边套，全天采光，精装修,https://hz.lianjia.com/ershoufang/103128390279.html,青漫里 ,南部卧城,22251元/平,228万,3室2厅 | 102.47平米 | 南 西 北 | 精装 | 低楼层(共26层)  | 塔楼,2024-08-03 23:10:28
2号线曹家桥1公里，楼层好视野好，自带幼儿园.满五年,https://hz.lianjia.com/ershoufang/103131752773.html,广泽小区 ,南部卧城,18158元/平,138万,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,2024-08-03 23:10:28
精装修、采光无遮挡、近印象城、学军、业主诚心出售,https://hz.lianjia.com/ershoufang/103132263436.html,君品名邸 ,钱江世纪城,59016元/平,615万,3室2厅 | 104.21平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-03 23:10:28
绿城开发大四房地铁口东门出门楼层好,https://hz.lianjia.com/ershoufang/103134536073.html,绿城九龙仓桂语朝阳 ,南部卧城,31398元/平,418万,4室2厅 | 133.13平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,2024-08-03 23:10:28
近奥体，临滨江，市北西品质小区，七号线地铁口,https://hz.lianjia.com/ershoufang/103125848641.html,景宸天玺名城 ,萧山新城区,44651元/平,520万,4室2厅 | 116.46平米 | 南 西 | 毛坯 | 34层  | 塔楼,2024-08-03 23:10:28
恒大国玺悦龙府4-1-1-3 204.76m² 1000万带2个车位,https://hz.lianjia.com/ershoufang/103133505637.html,恒大国玺悦龙府 ,萧山新城区,45420元/平,930万,4室1厅 | 204.76平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:10:28
此房满五年，摩卡小高层，南北通的户型,https://hz.lianjia.com/ershoufang/103123707074.html,江南摩卡 ,闻堰,20947元/平,215万,3室2厅 | 102.64平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,2024-08-03 23:10:28
四叶草户型  地铁口  精装9.8成新  可拎包入住 急售,https://hz.lianjia.com/ershoufang/103134030524.html,碧珑湾 ,萧山新城区,39739元/平,468万,4室2厅 | 117.77平米 | 南 | 精装 | 18层  | 板塔结合,2024-08-03 23:10:28
次新电梯房，配套成熟，中楼层，精装带地暖，业主诚售,https://hz.lianjia.com/ershoufang/103133159995.html,恒大帝景 ,南部卧城,22465元/平,202万,3室1厅 | 89.92平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-03 23:10:28
远离高架！楼幢位置好，楼层好！房东诚心卖，价可谈,https://hz.lianjia.com/ershoufang/103131918075.html,顺发美颂城 ,钱江世纪城,30713元/平,300万,3室1厅 | 97.68平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-03 23:10:28
五号线地铁口，自住精装修，满五唯一 急售,https://hz.lianjia.com/ershoufang/103130109380.html,得力名望府 ,萧山开发区,26462元/平,158万,2室1厅 | 59.71平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:10:28
奥体东 一线江景房 精装大平层阳台浇筑好的 诚心出售,https://hz.lianjia.com/ershoufang/103129318693.html,众安景海湾 ,萧山科技城,19251元/平,302万,4室2厅 | 156.88平米 | 南 北 | 精装 | 31层  | 板楼,2024-08-03 23:10:28
南北通透格局，精装交付，楼层好，采光好。,https://hz.lianjia.com/ershoufang/103118549152.html,东旭府 ,义桥,16585元/平,199万,4室2厅 | 119.99平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2024-08-03 23:10:28
满五无增值税 中间楼层 诚心出售,https://hz.lianjia.com/ershoufang/103123781500.html,世纪之光 ,钱江世纪城,41435元/平,335万,3室2厅 | 80.85平米 | 南 北 | 精装 | 16层  | 板楼,2024-08-03 23:10:28
满五 自住品牌精装（拎包入住）边套安静，诚心出可谈,https://hz.lianjia.com/ershoufang/103133954580.html,德信君宸 ,萧山新城区,39447元/平,348万,3室2厅 | 88.22平米 | 南 西南 | 精装 | 23层  | 板楼,2024-08-03 23:10:28
小户型，两层的，一层得两层，小区环境好，看房方便,https://hz.lianjia.com/ershoufang/103130433805.html,融创云潮府 ,萧山科技城,14958元/平,69万,2室1厅 | 46.13平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,2024-08-03 23:10:28
业主诚心出售 精装边套4房，视野无遮挡，东边套绝了,https://hz.lianjia.com/ershoufang/103133988562.html,德信君宸 ,萧山新城区,38389元/平,425万,4室2厅 | 110.71平米 | 南 | 精装 | 23层  | 板楼,2024-08-03 23:10:28
纯毛坯高楼层视野开阔，zmianj28平,https://hz.lianjia.com/ershoufang/103129888665.html,华瑞晴庐 ,萧山新城区,29667元/平,350万,4室1厅 | 117.98平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,2024-08-03 23:10:28
户型好 ，配套齐全，房东急卖，看房方便,https://hz.lianjia.com/ershoufang/103127288766.html,德信君宸 ,萧山新城区,33692元/平,298万,3室1厅 | 88.45平米 | 南 | 简装 | 23层  | 板塔结合,2024-08-03 23:10:28
"近滨江,房子全新没住过,适合当婚房,诚心出售价格可谈",https://hz.lianjia.com/ershoufang/103132805942.html,乐虹湾 ,湘湖,37171元/平,330万,3室2厅 | 88.78平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-03 23:10:28
世纪城板块 滨江开发  近地铁2号线 飞虹路站 精装全配,https://hz.lianjia.com/ershoufang/103134206346.html,滨江金色江南公寓 ,钱江世纪城,49238元/平,439万,3室1厅 | 89.16平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:10:28
满五唯一，高层，房龄新，中间套 小区品质高 楼间距大,https://hz.lianjia.com/ershoufang/103134302812.html,恒大帝景 ,南部卧城,26924元/平,240万,3室1厅 | 89.14平米 | 南 | 精装 | 30层  | 板楼,2024-08-03 23:10:28
满五不唯一，中间楼层，多层楼梯洋房。,https://hz.lianjia.com/ershoufang/103131759112.html,美之园西区 ,湘湖,20598元/平,215万,3室2厅 | 104.38平米 | 西 | 简装 | 中楼层(共6层)  | 板塔结合,2024-08-03 23:10:28
7号线纯地铁口 阳光城开发 精装修四叶草四房，带露台,https://hz.lianjia.com/ershoufang/103126540165.html,博印名邸 ,萧山开发区,24352元/平,260万,4室2厅 | 106.77平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
高桥初衷！高品质小区满五唯一户型楼层好采光好,https://hz.lianjia.com/ershoufang/103129955255.html,得力名门世家 ,南部卧城,41080元/平,370万,4室2厅 | 90.07平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2024-08-03 23:10:28
党山镇上低价格优质好房，房东诚心出售,https://hz.lianjia.com/ershoufang/103125651477.html,新街路 ,大江东,7312元/平,48万,2室1厅 | 65.65平米 | 东 西 | 简装 | 中楼层(共5层)  | 板楼,2024-08-03 23:10:28
诚心卖房高楼层视野很赞含泪卖 随时看房,https://hz.lianjia.com/ershoufang/103126113665.html,金色钱塘 ,萧山新城区,26267元/平,338万,3室2厅 | 128.68平米 | 南 | 精装 | 31层  | 板塔结合,2024-08-03 23:10:28
带电梯，边套159方4房2卫 带全新精装80万,https://hz.lianjia.com/ershoufang/103132771879.html,美之园西区 ,湘湖,23668元/平,378万,4室2厅 | 159.71平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2024-08-03 23:10:28
万科世纪之光  崇文旁  自住精装修 保养好 诚售,https://hz.lianjia.com/ershoufang/103133401125.html,世纪之光 ,钱江世纪城,42465元/平,346万,3室2厅 | 81.48平米 | 南 | 精装 | 15层  | 板楼,2024-08-03 23:10:28
南润名座，低总价，楼层视野佳，诚心出售。,https://hz.lianjia.com/ershoufang/103133772151.html,南润名座 ,南部卧城,10599元/平,40万,1室1厅 | 37.74平米 | 南 | 精装 | 低楼层(共19层)  | 塔楼,2024-08-03 23:10:28
边套户型 业主诚心出售 采光好 看房方便,https://hz.lianjia.com/ershoufang/103131348177.html,中国铁建青秀城 ,萧山新城区,36596元/平,467万,4室2厅 | 127.61平米 | 南 北 | 精装 | 18层  | 塔楼,2024-08-03 23:10:28
房子户型正 三开间朝南 交通方便 刚需低首付,https://hz.lianjia.com/ershoufang/103132029587.html,金域兰庭 ,义桥,16327元/平,140万,2室2厅 | 85.75平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,2024-08-03 23:10:28
小区环境好， 总价低， 看房方便，有钥匙,https://hz.lianjia.com/ershoufang/103134166137.html,南润名座 ,南部卧城,10775元/平,38万,2室1厅 | 35.27平米 | 北 | 简装 | 高楼层(共22层)  | 板楼,2024-08-03 23:10:28
一线江景，环境优美，通透户型，满5年.精装修,https://hz.lianjia.com/ershoufang/103128201982.html,众安景海湾 ,萧山科技城,17542元/平,243万,4室1厅 | 138.53平米 | 南 | 精装 | 33层  | 板楼,2024-08-03 23:10:28
亚奥板块中间楼幢的中间位置，罕见方正户型南北通,https://hz.lianjia.com/ershoufang/103132113280.html,顺发美颂城 ,钱江世纪城,31225元/平,305万,3室2厅 | 97.68平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-03 23:10:28
次新小区，开发商精装修交房，未入住过，环境好,https://hz.lianjia.com/ershoufang/103121202909.html,宸宇府 ,南部卧城,22798元/平,235万,3室2厅 | 103.08平米 | 南 | 精装 | 33层  | 板塔结合,2024-08-03 23:10:28
一号线地铁口 天空之城精装修边套 地下室直通地铁,https://hz.lianjia.com/ershoufang/103131570716.html,天空之城 ,大江东,21337元/平,190万,3室2厅 | 89.05平米 | 南 | 精装 | 14层  | 板塔结合,2024-08-03 23:10:28
日耀之城滨水区 采光视野景观都好 单价低总价低,https://hz.lianjia.com/ershoufang/103134366185.html,日耀之城 ,钱江世纪城,56186元/平,808万,4室2厅 | 143.81平米 | 南 北 | 精装 | 29层  | 板塔结合,2024-08-03 23:10:28
亚运村板块 刚需三房 中间楼层 诚心出售,https://hz.lianjia.com/ershoufang/103134812467.html,顺发康庄 ,钱江世纪城,22483元/平,198万,3室2厅 | 88.07平米 | 南 | 简装 | 29层  | 板楼,2024-08-03 23:10:28
君宸，自住装修，7号线，看房方便,https://hz.lianjia.com/ershoufang/103121137448.html,德信君宸 ,萧山新城区,36448元/平,325万,3室2厅 | 89.17平米 | 南 | 精装 | 23层  | 板楼,2024-08-03 23:10:28
钱江旁 多层电梯洋房 带花园 地下室 户型方正！,https://hz.lianjia.com/ershoufang/103127201633.html,钱江蓝湾 ,萧山科技城,32983元/平,285万,3室2厅 | 86.41平米 | 西南 | 精装 | 低楼层(共7层)  | 板塔结合,2024-08-03 23:10:28
为了卖房，租客已经清空，钥匙在手随时看房,https://hz.lianjia.com/ershoufang/103127948489.html,众安朝阳8号 ,南部卧城,24924元/平,219万,3室2厅 | 87.87平米 | 南 | 简装 | 33层  | 塔楼,2024-08-03 23:10:28
此房满满五唯一，边套横厅户型采光无遮挡精装,https://hz.lianjia.com/ershoufang/103131909735.html,博印名邸 ,萧山开发区,28229元/平,249万,3室2厅 | 88.21平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:10:28
新街七号线地铁口，三室两厅两卫出售,https://hz.lianjia.com/ershoufang/103123476121.html,中铁诺德雅逸府 ,萧山开发区,21240元/平,185万,3室2厅 | 87.1平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,2024-08-03 23:10:28
边套户型 业主诚心出售 采光好 看房方便,https://hz.lianjia.com/ershoufang/103131348177.html,中国铁建青秀城 ,萧山新城区,36596元/平,467万,4室2厅 | 127.61平米 | 南 北 | 精装 | 18层  | 塔楼,2024-08-03 23:10:28
金域三江，东边套，精装修，大阳台房东诚心，价格可谈,https://hz.lianjia.com/ershoufang/103133516380.html,金域三江 ,义桥,14573元/平,190万,3室2厅 | 130.38平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,2024-08-03 23:10:28
业主诚心出售，东边套，看房方便,https://hz.lianjia.com/ershoufang/103119274044.html,滨江江南之星 ,萧山新城区,43084元/平,550万,4室2厅 | 127.66平米 | 东 南 北 | 毛坯 | 34层  | 板楼,2024-08-03 23:10:28
近奥体！晴瑞里97方大三房 双阳台，诚心卖！价格可谈,https://hz.lianjia.com/ershoufang/103130080435.html,景瑞晴海 ,钱江世纪城,27398元/平,268万,3室2厅 | 97.82平米 | 南 北 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
次新小区，万科统一精装修，万科物业，小区品质好,https://hz.lianjia.com/ershoufang/103133233584.html,云章映月华庭 ,萧山新城区,35465元/平,315万,3室2厅 | 88.82平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:10:28
为了卖房，租客已经清空，钥匙在手随时看房,https://hz.lianjia.com/ershoufang/103127948489.html,众安朝阳8号 ,南部卧城,24924元/平,219万,3室2厅 | 87.87平米 | 南 | 简装 | 33层  | 塔楼,2024-08-03 23:10:28
没住过人，开发商样板房，业主诚心出售,https://hz.lianjia.com/ershoufang/103121462000.html,闻博花城 ,萧山新城区,38671元/平,585万,4室2厅 | 151.28平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-03 23:10:28
时代奥城 三开间朝南 精装自住,https://hz.lianjia.com/ershoufang/103134526745.html,融创华奥时代奥城 ,钱江世纪城,64139元/平,690万,3室2厅 | 107.58平米 | 南 | 精装 | 17层  | 板塔结合,2024-08-03 23:10:28
繁华地带，配套齐，各大综合体齐聚左右500米内,https://hz.lianjia.com/ershoufang/103133669156.html,天润商业中心 ,萧山市区,16602元/平,93万,2室1厅 | 56.02平米 | 北 | 简装 | 低楼层(共22层)  | 板塔结合,2024-08-03 23:10:28
小区环境好， 总价低， 看房方便，有钥匙,https://hz.lianjia.com/ershoufang/103134166137.html,南润名座 ,南部卧城,10775元/平,38万,2室1厅 | 35.27平米 | 北 | 简装 | 高楼层(共22层)  | 板楼,2024-08-03 23:10:28
一线江景，环境优美，通透户型，满5年.精装修,https://hz.lianjia.com/ershoufang/103128201982.html,众安景海湾 ,萧山科技城,17542元/平,243万,4室1厅 | 138.53平米 | 南 | 精装 | 33层  | 板楼,2024-08-03 23:10:28
7号线地铁口，中铁雅逸府精装户型，三开间朝南三居室,https://hz.lianjia.com/ershoufang/103120772194.html,中铁诺德雅逸府 ,萧山开发区,26274元/平,228万,3室2厅 | 86.78平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-03 23:10:28
此房满满五唯一，边套横厅户型采光无遮挡精装,https://hz.lianjia.com/ershoufang/103131909735.html,博印名邸 ,萧山开发区,28229元/平,249万,3室2厅 | 88.21平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:10:28
精装修，位置好，楼层好，地铁口,https://hz.lianjia.com/ershoufang/103129586569.html,众安朝阳8号 ,南部卧城,28300元/平,253万,3室2厅 | 89.4平米 | 南 | 精装 | 33层  | 塔楼,2024-08-03 23:10:28
钱江旁 多层电梯洋房 带花园 地下室 户型方正！,https://hz.lianjia.com/ershoufang/103127201633.html,钱江蓝湾 ,萧山科技城,32983元/平,285万,3室2厅 | 86.41平米 | 西南 | 精装 | 低楼层(共7层)  | 板塔结合,2024-08-03 23:10:28
次新小区，开发商精装修交房，未入住过，环境好,https://hz.lianjia.com/ershoufang/103121202909.html,宸宇府 ,南部卧城,22798元/平,235万,3室2厅 | 103.08平米 | 南 | 精装 | 33层  | 板塔结合,2024-08-03 23:10:28
亚奥板块中间楼幢的中间位置，罕见方正户型南北通,https://hz.lianjia.com/ershoufang/103132113280.html,顺发美颂城 ,钱江世纪城,31225元/平,305万,3室2厅 | 97.68平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-03 23:10:28
房子户型正 三开间朝南 交通方便 刚需低首付,https://hz.lianjia.com/ershoufang/103132029587.html,金域兰庭 ,义桥,16327元/平,140万,2室2厅 | 85.75平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,2024-08-03 23:10:28
日耀之城滨水区 采光视野景观都好 单价低总价低,https://hz.lianjia.com/ershoufang/103134366185.html,日耀之城 ,钱江世纪城,56186元/平,808万,4室2厅 | 143.81平米 | 南 北 | 精装 | 29层  | 板塔结合,2024-08-03 23:10:28
楼层好 精装修交付 纯边套 采光视野辽阔 户型方正,https://hz.lianjia.com/ershoufang/103124975231.html,悦风荷锦庭 ,义桥,18086元/平,178万,3室2厅 | 98.42平米 | 西 | 精装 | 中楼层(共21层)  | 板楼,2024-08-03 23:10:28
边厅带阳台，实用小四房，全明南北通，公区功能完备,https://hz.lianjia.com/ershoufang/103134104926.html,日耀之城 ,钱江世纪城,53267元/平,676万,4室2厅 | 126.91平米 | 南 | 精装 | 30层  | 板楼,2024-08-03 23:10:28
钱江世纪城旁，高品质次新小区，3房2卫，诚售,https://hz.lianjia.com/ershoufang/103127692583.html,景瑞晴海 ,钱江世纪城,26199元/平,258万,3室2厅 | 98.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
自住装修保养的好，一楼带有15方院子。2房户型.,https://hz.lianjia.com/ershoufang/103120555247.html,崇化住宅区 ,萧山市区,20662元/平,115万,2室1厅 | 55.66平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2024-08-03 23:10:28
"近滨江,房子全新没住过,适合当婚房,诚心出售价格可谈",https://hz.lianjia.com/ershoufang/103132805942.html,乐虹湾 ,湘湖,37171元/平,330万,3室2厅 | 88.78平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-03 23:10:28
7号线纯地铁口 阳光城开发 精装修四叶草四房，带露台,https://hz.lianjia.com/ershoufang/103126540165.html,博印名邸 ,萧山开发区,24352元/平,260万,4室2厅 | 106.77平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
户型好 ，配套齐全，房东急卖，看房方便,https://hz.lianjia.com/ershoufang/103127288766.html,德信君宸 ,萧山新城区,33692元/平,298万,3室1厅 | 88.45平米 | 南 | 简装 | 23层  | 板塔结合,2024-08-03 23:10:28
世纪城板块 滨江开发  近地铁2号线 飞虹路站 精装全配,https://hz.lianjia.com/ershoufang/103134206346.html,滨江金色江南公寓 ,钱江世纪城,49238元/平,439万,3室1厅 | 89.16平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:10:28
带电梯，边套159方4房2卫 带全新精装80万,https://hz.lianjia.com/ershoufang/103132771879.html,美之园西区 ,湘湖,23668元/平,378万,4室2厅 | 159.71平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2024-08-03 23:10:28
党山镇上低价格优质好房，房东诚心出售,https://hz.lianjia.com/ershoufang/103125651477.html,新街路 ,大江东,7312元/平,48万,2室1厅 | 65.65平米 | 东 西 | 简装 | 中楼层(共5层)  | 板楼,2024-08-03 23:10:28
高桥初衷！高品质小区满五唯一户型楼层好采光好,https://hz.lianjia.com/ershoufang/103129955255.html,得力名门世家 ,南部卧城,41080元/平,370万,4室2厅 | 90.07平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2024-08-03 23:10:28
萧山南卧融望之城全新未入住看房方便,https://hz.lianjia.com/ershoufang/103134540095.html,融望之城 ,南部卧城,24880元/平,325万,4室2厅 | 130.63平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,2024-08-03 23:10:28
满五年，边套，南北通透，户型全明，拓展20方，诚心卖,https://hz.lianjia.com/ershoufang/103132384607.html,恒大帝景 ,南部卧城,24551元/平,220万,3室2厅 | 89.61平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-03 23:10:28
滨江造 奥体世纪城边套户型 景观视野好，采光好。,https://hz.lianjia.com/ershoufang/103132226364.html,君品名邸 ,钱江世纪城,64807元/平,799万,4室2厅 | 123.29平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-03 23:10:28
满二唯一 楼层好  保养好 房东诚心出售看房有密码,https://hz.lianjia.com/ershoufang/103132100274.html,通惠江南名府 ,萧山新城区,30761元/平,275万,3室1厅 | 89.4平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2024-08-03 23:10:28
边厅带阳台，实用小四房，全明南北通，公区功能完备,https://hz.lianjia.com/ershoufang/103134104926.html,日耀之城 ,钱江世纪城,53267元/平,676万,4室2厅 | 126.91平米 | 南 | 精装 | 30层  | 板楼,2024-08-03 23:10:28
钱江世纪城旁，高品质次新小区，3房2卫，诚售,https://hz.lianjia.com/ershoufang/103127692583.html,景瑞晴海 ,钱江世纪城,26199元/平,258万,3室2厅 | 98.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
品质小区，精装交付，靠奥体，近滨江,https://hz.lianjia.com/ershoufang/103133354825.html,云章映月华庭 ,萧山新城区,39388元/平,350万,3室2厅 | 88.86平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:10:28
