近地铁 配套成熟 自住精装 中间楼层 业主置换诚售,https://hz.lianjia.com/ershoufang/103131846262.html,恒大帝景 ,南部卧城,"26,870元/平",368万,5室2厅 | 136.96平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
中国铁建 品质小区  高楼层视野好 采光很好,https://hz.lianjia.com/ershoufang/103113694222.html,中国铁建青秀城 ,萧山新城区,"36,298元/平",320万,3室2厅 | 88.16平米 | 南 北 | 简装 | 18层  | 板塔结合,2024-08-01 22:59:28
近世纪城，边套精装带地暖三居室，采光很好,https://hz.lianjia.com/ershoufang/103129267502.html,景瑞晴海 ,钱江世纪城,"26,768元/平",265万,3室2厅 | 99平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
望涛月明 滨江品质 精装修全明户型 业主诚售,https://hz.lianjia.com/ershoufang/103133543918.html,滨江望涛月明 ,萧山新城区,"30,525元/平",330万,3室2厅 | 108.11平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 22:59:28
好房推荐 振宁路地铁口 方正户型 满二 无大税,https://hz.lianjia.com/ershoufang/103131381448.html,丰东花苑 ,钱江世纪城,"28,765元/平",179万,2室1厅 | 62.23平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,2024-08-01 22:59:28
纯地铁口  精装修 全天采光 无遮挡三开间朝南,https://hz.lianjia.com/ershoufang/103124297073.html,博印名邸 ,萧山开发区,"24,776元/平",215万,3室2厅 | 86.78平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 22:59:28
建设三路双地铁口，户型好 业主诚心卖，,https://hz.lianjia.com/ershoufang/103134745823.html,中誉万豪广场 ,萧山新城区,"10,515元/平",110万,2室1厅 | 104.62平米 | 南 | 简装 | 28层  | 板楼,2024-08-01 22:59:28
三开间朝南，自住精装修，高楼层江景房,https://hz.lianjia.com/ershoufang/103131817178.html,戈雅公寓 ,闻堰,"18,053元/平",198万,3室2厅 | 109.68平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,2024-08-01 22:59:28
东旭府 精装修4房 楼层好 户型南北通,https://hz.lianjia.com/ershoufang/103124483714.html,东旭府 ,义桥,"16,669元/平",200万,4室2厅 | 119.99平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-01 22:59:28
钱江世纪城板块，崇文杭二中旁，开发商精装修。,https://hz.lianjia.com/ershoufang/103133853655.html,世纪之光 ,钱江世纪城,"40,661元/平",330万,3室1厅 | 81.16平米 | 南 | 精装 | 17层  | 板楼,2024-08-01 22:59:28
地铁二号线，银泰城，满五，拓展27方，南北通透采光好,https://hz.lianjia.com/ershoufang/103134593844.html,光明尚海湾 ,南部卧城,"25,032元/平",220万,3室2厅 | 87.89平米 | 南 西 北 | 简装 | 中楼层(共27层)  | 板塔结合,2024-08-01 22:59:28
世纪城奥体一站地铁，龙湖品质全明舒适三房,https://hz.lianjia.com/ershoufang/103134042932.html,嘉宸天誉名轩 ,萧山新城区,"44,947元/平",398万,3室2厅 | 88.55平米 | 南 | 精装 | 34层  | 板楼,2024-08-01 22:59:28
世纪城板块，精装修带地暖 中高楼层  满五唯一,https://hz.lianjia.com/ershoufang/103125677599.html,柏峰珑悦府 ,钱江世纪城,"51,999元/平",730万,4室2厅 | 140.39平米 | 南 北 | 精装 | 18层  | 板楼,2024-08-01 22:59:28
广泽小区 地铁口 ，刚需两房，采光好 诚心出售,https://hz.lianjia.com/ershoufang/103133987981.html,广泽小区 ,南部卧城,"17,163元/平",128万,2室2厅 | 74.58平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2024-08-01 22:59:28
好楼层，泳池景观，宽阔餐客厅 改善大四房3卫,https://hz.lianjia.com/ershoufang/103133794029.html,绿城沁桂轩 ,萧山新城区,"41,104元/平",690万,4室2厅 | 167.87平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,2024-08-01 22:59:28
次新电梯房，配套成熟，精装修，可拎包住，满五唯一,https://hz.lianjia.com/ershoufang/103127069524.html,科尔南城嘉园 ,南部卧城,"15,466元/平",132万,3室1厅 | 85.35平米 | 南 | 精装 | 12层  | 板楼,2024-08-01 22:59:28
银泰旁次新小区 户型好 开发商精装 随时可看房 诚心卖,https://hz.lianjia.com/ershoufang/103134329127.html,融望之城 ,南部卧城,"23,163元/平",230万,3室2厅 | 99.3平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,2024-08-01 22:59:28
建设三路双地铁口 开发商精装修 东边套 房东诚心卖,https://hz.lianjia.com/ershoufang/103129701086.html,新希望滨江锦宸 ,萧山新城区,"43,689元/平",560万,4室2厅 | 128.18平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,2024-08-01 22:59:28
不靠高架，户型好，大阳台采光好，诚心出售，价格可谈,https://hz.lianjia.com/ershoufang/103129443959.html,湘湖人家 ,闻堰,"17,558元/平",155万,2室2厅 | 88.28平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2024-08-01 22:59:28
自住精装修，飘窗已经全部敲掉，,https://hz.lianjia.com/ershoufang/103132189027.html,德信泊林春天 ,钱江世纪城,"24,571元/平",220万,3室2厅 | 89.54平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,2024-08-01 22:59:28
"楼层适中,看智慧之门杭州之门,蓝宝石泳池",https://hz.lianjia.com/ershoufang/103127138316.html,君品名邸 ,钱江世纪城,"64,729元/平",895万,4室2厅 | 138.27平米 | 西南 | 精装 | 中楼层(共26层)  | 塔楼,2024-08-01 22:59:28
楼下地铁7号线精装修，4.5米层高,https://hz.lianjia.com/ershoufang/103132485996.html,英冠乐创城 ,萧山新城区,"21,001元/平",89万,2室1厅 | 42.38平米 | 北 | 精装 | 21层  | 板楼,2024-08-01 22:59:28
萧山南卧融望之城全新未入住看房方便,https://hz.lianjia.com/ershoufang/103134540095.html,融望之城 ,南部卧城,"24,880元/平",325万,4室2厅 | 130.63平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,2024-08-01 22:59:28
边套108方，满二，无大税，房东是贝壳铁粉,https://hz.lianjia.com/ershoufang/103133799662.html,湖悦章府 ,南部卧城,"26,304元/平",285万,3室1厅 | 108.35平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 22:59:28
世纪城 小洋房 满五唯一税费少 采光无遮挡 近印象城,https://hz.lianjia.com/ershoufang/103132653463.html,顺发美哉美城 ,钱江世纪城,"53,160元/平",620万,4室2厅 | 116.63平米 | 南 北 | 简装 | 13层  | 板楼,2024-08-01 22:59:28
奥体洋房，前排无遮挡，随时看房，诚心出售！,https://hz.lianjia.com/ershoufang/103134575192.html,顺发美哉美城 ,钱江世纪城,"52,874元/平",438万,3室2厅 | 82.84平米 | 南 | 简装 | 14层  | 板楼,2024-08-01 22:59:28
朝闻花城 南卧品质楼盘 滨江精装修 大三房诚心出售！,https://hz.lianjia.com/ershoufang/103129868404.html,朝闻花城 ,南部卧城,"27,662元/平",265万,3室2厅 | 95.8平米 | 南 | 精装 | 27层  | 暂无数据,2024-08-01 22:59:28
精装修 四叶草户型 南北通 中间楼层 税少,https://hz.lianjia.com/ershoufang/103133787208.html,东旭府 ,义桥,"16,817元/平",198万,4室2厅 | 117.74平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2024-08-01 22:59:28
采光视野无遮挡，全屋精装修加软装带新风系统,https://hz.lianjia.com/ershoufang/103129895285.html,天璞御园 ,钱江世纪城,"58,441元/平",620万,3室1厅 | 106.09平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 22:59:28
万科品牌、精装交付、全明3房户型、诚心出售,https://hz.lianjia.com/ershoufang/103133907194.html,云章映月华庭 ,萧山新城区,"39,388元/平",350万,3室2厅 | 88.86平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 22:59:28
多层精装好房，楼层南北通采光好,https://hz.lianjia.com/ershoufang/103133200843.html,美之园东区 ,湘湖,"20,604元/平",250万,3室2厅 | 121.34平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,2024-08-01 22:59:28
法式精装，东边套，价格低，诚心卖,https://hz.lianjia.com/ershoufang/103134314926.html,星翠澜庭 ,钱江世纪城,"55,171元/平",700万,4室2厅 | 126.88平米 | 东 南 | 精装 | 25层  | 板楼,2024-08-01 22:59:28
湘湖美地电梯洋房，精装未住过满五唯一,https://hz.lianjia.com/ershoufang/103126211174.html,华瑞湘湖美地 ,湘湖,"22,559元/平",325万,3室2厅 | 144.07平米 | 南 | 精装 | 12层  | 板楼,2024-08-01 22:59:28
钱江世纪城板块 振宁路地铁口 大三房 满五年,https://hz.lianjia.com/ershoufang/103119611346.html,恒泰御庭园 ,钱江世纪城,"20,091元/平",315万,4室2厅 | 156.79平米 | 南 | 精装 | 12层  | 板塔结合,2024-08-01 22:59:28
六楼精装修房子双北干业主诚心出售,https://hz.lianjia.com/ershoufang/103132819874.html,山阴小区 ,萧山市区,"26,936元/平",119万,2室1厅 | 44.18平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2024-08-01 22:59:28
晴庐精装修中间套，高楼层视野采光好，业主诚心出售,https://hz.lianjia.com/ershoufang/103133610681.html,华瑞晴庐 ,萧山新城区,"31,298元/平",269万,3室2厅 | 85.95平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2024-08-01 22:59:28
5号线姑娘桥站300米，3房2卫中楼层，满五唯一，采光好,https://hz.lianjia.com/ershoufang/103131102697.html,得力名望府 ,萧山开发区,"20,646元/平",185万,3室2厅 | 89.61平米 | 南 | 简装 | 25层  | 板楼,2024-08-01 22:59:28
滨江品质 精装修 自住看房方便 低总价,https://hz.lianjia.com/ershoufang/103131289786.html,滨江旭辉滨旭府 ,萧山开发区,"20,206元/平",195万,3室2厅 | 96.51平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 22:59:28
城市总推荐：博奥城精装修三房 ，中间套户型,https://hz.lianjia.com/ershoufang/103122420890.html,德圣博奥城 ,萧山新城区,"35,161元/平",290万,3室2厅 | 82.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
奥体低总价 东边套 楼层好 产权清晰 房东诚心出售,https://hz.lianjia.com/ershoufang/103130128360.html,利一家园 ,钱江世纪城,"24,795元/平",259万,3室2厅 | 104.46平米 | 南 | 毛坯 | 高楼层(共25层)  | 塔楼,2024-08-01 22:59:28
近奥体！晴瑞里97方大三房 双阳台，诚心卖！价格可谈,https://hz.lianjia.com/ershoufang/103130080435.html,景瑞晴海 ,钱江世纪城,"27,398元/平",268万,3室2厅 | 97.82平米 | 南 北 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
融创洋房 高品质住宅 精装修带地暖 轻轨口 户型好！,https://hz.lianjia.com/ershoufang/103129721498.html,融创云潮府 ,萧山科技城,"30,356元/平",370万,4室2厅 | 121.89平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,2024-08-01 22:59:28
没住过人，开发商样板房，业主诚心出售,https://hz.lianjia.com/ershoufang/103121462000.html,闻博花城 ,萧山新城区,"38,671元/平",585万,4室2厅 | 151.28平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 22:59:28
房东诚心卖，楼层好，看房方便，湖景房，价格可谈。,https://hz.lianjia.com/ershoufang/103127148949.html,佳源.湘印府 ,义桥,"22,824元/平",205万,3室2厅 | 89.82平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,2024-08-01 22:59:28
云彩之城 4室2厅 南 西,https://hz.lianjia.com/ershoufang/103131839615.html,云彩之城 ,萧山开发区,"21,691元/平",299万,4室2厅 | 137.85平米 | 南 西 | 精装 | 中楼层(共18层)  | 板楼,2024-08-01 22:59:28
三开间朝南，阳光采光好，精装修,https://hz.lianjia.com/ershoufang/103119281018.html,湘湖人家 ,闻堰,"17,558元/平",155万,2室2厅 | 88.28平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,2024-08-01 22:59:28
有车位 诚心卖急置换 中间楼层 南北通透  近地铁,https://hz.lianjia.com/ershoufang/103127217026.html,德信君宸 ,萧山新城区,"42,822元/平",377万,3室2厅 | 88.04平米 | 南 北 | 精装 | 23层  | 板楼,2024-08-01 22:59:28
中高楼层 自住精装 三面朝南 满五唯一 诚心出售,https://hz.lianjia.com/ershoufang/103133179315.html,德圣博奥城 ,萧山新城区,"34,497元/平",265万,2室1厅 | 76.82平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
招商开发 央企品质 市北地铁盘 业主诚售,https://hz.lianjia.com/ershoufang/103131693465.html,招商蛇口花屿观澜里 ,萧山新城区,"38,844元/平",399万,3室2厅 | 102.72平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2024-08-01 22:59:28
房子满五不唯一，精装修25万，房东诚心出售,https://hz.lianjia.com/ershoufang/103121163673.html,金域兰庭 ,义桥,"17,806元/平",160万,3室2厅 | 89.86平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2024-08-01 22:59:28
金城路地铁沿线精装小公寓诚心出售,https://hz.lianjia.com/ershoufang/103130120891.html,太古广场 ,萧山新城区,"11,601元/平",59万,1室1厅 | 50.86平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,2024-08-01 22:59:28
为了卖房，租客已经清空，钥匙在手随时看房,https://hz.lianjia.com/ershoufang/103127948489.html,众安朝阳8号 ,南部卧城,"24,924元/平",219万,3室2厅 | 87.87平米 | 南 | 简装 | 33层  | 塔楼,2024-08-01 22:59:28
滨江三房精装修中高楼层次新房地铁口诚心出售,https://hz.lianjia.com/ershoufang/103131948218.html,滨江御虹府 ,钱江世纪城,"54,978元/平",565万,3室2厅 | 102.77平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
绿城打造 精装交付 有车位，高楼层，视野好，,https://hz.lianjia.com/ershoufang/103119482335.html,绿城九龙仓桂语江南 ,萧山新城区,"48,264元/平",460万,3室2厅 | 95.31平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,2024-08-01 22:59:28
朝阳地铁口300米，滨江开发商，品质小区，精装交付,https://hz.lianjia.com/ershoufang/103132358271.html,朝闻花城 ,南部卧城,"29,094元/平",280万,3室2厅 | 96.24平米 | 南 | 精装 | 27层  | 塔楼,2024-08-01 22:59:28
滨江园林景观，漂亮绿植，自带泳池，环境很不错,https://hz.lianjia.com/ershoufang/103134534689.html,朝闻花城 ,南部卧城,"25,774元/平",280万,4室2厅 | 108.64平米 | 东南 | 精装 | 18层  | 暂无数据,2024-08-01 22:59:28
买一层多一层，60万精装拎包入住，小区中间阳光不挡，,https://hz.lianjia.com/ershoufang/103123471081.html,顺发美哉美城 ,钱江世纪城,"62,758元/平",610万,4室1厅 | 97.2平米 | 南 | 精装 | 11层  | 板楼,2024-08-01 22:59:28
急售好房推荐，凤凰层视野开阔，价格有优势，看房随时,https://hz.lianjia.com/ershoufang/103133498842.html,滨江望涛月明 ,萧山新城区,"37,266元/平",405万,3室2厅 | 108.68平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,2024-08-01 22:59:28
此房满五唯一，楼层中上，前后采光无遮挡,https://hz.lianjia.com/ershoufang/103134049476.html,阳光城上府 ,西兴,"36,448元/平",325万,3室2厅 | 89.17平米 | 南 | 简装 | 34层  | 板楼,2024-08-01 22:59:28
潘水南苑复式带阁楼，空间感十足，业主诚心出售！,https://hz.lianjia.com/ershoufang/103120622672.html,潘水南苑 ,萧山市区,"19,870元/平",268万,3室2厅 | 134.88平米 | 南 | 简装 | 6层  | 板塔结合,2024-08-01 22:59:28
奥邸国际高区大平层  视野开阔 采光充足 诚心出售,https://hz.lianjia.com/ershoufang/103130501472.html,保亿绿城奥邸国际 ,奥体,"67,063元/平",271万,3室2厅 | 40.41平米 | 东 南 北 | 精装 | 中楼层(共54层)  | 板楼,2024-08-01 22:59:28
房东要出国啦 忍痛割爱 含车位 无噪音影响,https://hz.lianjia.com/ershoufang/103125466038.html,滨江新城东方名府 ,萧山新城区,"31,613元/平",390万,4室2厅 | 123.37平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,2024-08-01 22:59:28
圣都精装30万3房2卫 中高楼层 满五唯一 看房方便诚售,https://hz.lianjia.com/ershoufang/103133570792.html,德信泊林春天 ,钱江世纪城,"25,849元/平",230万,3室2厅 | 88.98平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2024-08-01 22:59:28
萧山市区少有的排屋，次新刚交付的小区带露台环境好,https://hz.lianjia.com/ershoufang/103130207581.html,中天云望 ,萧山市区,"56,444元/平",950万,4室1厅 | 168.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2024-08-01 22:59:28
满二唯一，滨江物业带泳池，洋房后视野好，银河学府,https://hz.lianjia.com/ershoufang/103129340066.html,融信江南学府 ,萧山新城区,"37,565元/平",480万,4室2厅 | 127.78平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2024-08-01 22:59:28
市北品质小区 滨江双子 此房视野好位置安静  看房方便,https://hz.lianjia.com/ershoufang/103133963790.html,滨江望涛月明 ,萧山新城区,"38,367元/平",495万,4室2厅 | 129.02平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 22:59:28
房东诚心出售   看房方便   价格还可以谈的,https://hz.lianjia.com/ershoufang/103133190758.html,悦风荷锦庭 ,义桥,"17,596元/平",168万,3室2厅 | 95.48平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 22:59:28
北干华达社区，楼层好，附大平台，阳光房已包进，可议,https://hz.lianjia.com/ershoufang/103134586143.html,北干一苑 ,萧山市区,"25,705元/平",239万,3室2厅 | 92.98平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2024-08-01 22:59:28
雅棠轩大4房  房东出国诚心出售  看房方便,https://hz.lianjia.com/ershoufang/103132059961.html,雅棠轩 ,萧山新城区,"31,052元/平",400万,4室2厅 | 128.82平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,2024-08-01 22:59:28
五号地铁口，万科全新精装，楼层好、采光好、诚心出售,https://hz.lianjia.com/ershoufang/103134733771.html,虹云之城 ,萧山开发区,"25,245元/平",248万,3室2厅 | 98.24平米 | 南 | 精装 | 16层  | 板楼,2024-08-01 22:59:28
日耀之城     126方      四房两卫,https://hz.lianjia.com/ershoufang/103134342770.html,日耀之城 ,钱江世纪城,"54,417元/平",690万,4室2厅 | 126.8平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
西东边套大三房，带精装修，户型方正，楼层佳，采光好,https://hz.lianjia.com/ershoufang/103129725284.html,湘湖人家 ,闻堰,"22,307元/平",265万,3室2厅 | 118.8平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-01 22:59:28
户型好 采光好 电梯房  高桥初中,https://hz.lianjia.com/ershoufang/103134859688.html,绿都四季花城 ,南部卧城,"22,833元/平",380万,4室1厅 | 166.43平米 | 南 北 | 精装 | 10层  | 板楼,2024-08-01 22:59:28
雅逸府业主自住精装修，看房方便，诚心出售等待有缘人,https://hz.lianjia.com/ershoufang/103132944938.html,中铁诺德雅逸府 ,萧山开发区,"26,981元/平",235万,3室1厅 | 87.1平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,2024-08-01 22:59:28
五号线地铁 旁，精装全屋定制精装修，采光好,https://hz.lianjia.com/ershoufang/103123446408.html,得力名望府 ,萧山开发区,"22,995元/平",205万,4室2厅 | 89.15平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 22:59:28
党山镇上低价格优质好房，房东诚心出售,https://hz.lianjia.com/ershoufang/103125651477.html,新街路 ,大江东,"7,312元/平",48万,2室1厅 | 65.65平米 | 东 西 | 简装 | 中楼层(共5层)  | 板楼,2024-08-01 22:59:28
银河北干  东边套大三房户型  拎包入住,https://hz.lianjia.com/ershoufang/103131933743.html,萧悦中御府 ,萧山新城区,"30,882元/平",340万,3室2厅 | 110.1平米 | 南 | 精装 | 33层  | 板楼,2024-08-01 22:59:28
满五唯一，多层洋房，视野好，房东急售,https://hz.lianjia.com/ershoufang/103128432894.html,华瑞湘湖美地 ,湘湖,"23,799元/平",300万,3室2厅 | 126.06平米 | 南 | 简装 | 7层  | 板楼,2024-08-01 22:59:28
双金山 地铁口 跃层毛坯顶楼带花园  看房方便,https://hz.lianjia.com/ershoufang/103134488363.html,金地德圣中心 ,萧山市区,"47,298元/平",420万,3室2厅 | 88.8平米 | 南 | 毛坯 | 27层  | 板楼,2024-08-01 22:59:28
精装修交付，双地铁口，客厅带阳台，带车位诚心出售,https://hz.lianjia.com/ershoufang/103134360517.html,阳光城上府 ,西兴,"35,299元/平",315万,3室2厅 | 89.24平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,2024-08-01 22:59:28
满两年次新小区 带孩子方便都在小区旁看房方便自住,https://hz.lianjia.com/ershoufang/103134458971.html,宸宇府 ,南部卧城,"26,229元/平",269万,3室1厅 | 102.56平米 | 南 | 精装 | 32层  | 板楼,2024-08-01 22:59:28
不靠高架，满五年唯一税少，西边套大三房，高楼层,https://hz.lianjia.com/ershoufang/103133170822.html,德信泊林春天 ,钱江世纪城,"25,728元/平",230万,3室2厅 | 89.4平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,2024-08-01 22:59:28
好房推荐，西边套精装大四房，诚心置换，底价出售,https://hz.lianjia.com/ershoufang/103128964437.html,宸宇府 ,南部卧城,"25,809元/平",309万,4室2厅 | 119.73平米 | 南 | 精装 | 34层  | 板塔结合,2024-08-01 22:59:28
奥体东 一线江景房 精装大平层阳台浇筑好的 诚心出售,https://hz.lianjia.com/ershoufang/103129318693.html,众安景海湾 ,萧山科技城,"19,251元/平",302万,4室2厅 | 156.88平米 | 南 北 | 精装 | 31层  | 板楼,2024-08-01 22:59:28
江景西边套，窗外景观美如宫崎骏或者毕加索的画,https://hz.lianjia.com/ershoufang/103134311408.html,日耀之城 ,钱江世纪城,"62,085元/平",1550万,4室2厅 | 249.66平米 | 南 | 精装 | 36层  | 板塔结合,2024-08-01 22:59:28
房东诚心出售   价格可以谈的  小区环境好  视野开阔,https://hz.lianjia.com/ershoufang/103133029406.html,悦风荷锦庭 ,义桥,"16,946元/平",162万,3室2厅 | 95.6平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 22:59:28
次新电梯房，配套成熟，中楼层，精装带地暖，业主诚售,https://hz.lianjia.com/ershoufang/103133159995.html,恒大帝景 ,南部卧城,"22,465元/平",202万,3室1厅 | 89.92平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
朝南高楼层小户型，诚心出售好房，户型方正。,https://hz.lianjia.com/ershoufang/103128639188.html,北干一苑 ,萧山市区,"39,092元/平",105万,1室1厅 | 26.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2024-08-01 22:59:28
精装修交付，地铁口，不靠高架，随时看房,https://hz.lianjia.com/ershoufang/103133943216.html,阳光城滨奥悦府 ,钱江世纪城,"63,808元/平",680万,3室2厅 | 106.57平米 | 南 | 精装 | 17层  | 板楼,2024-08-01 22:59:28
自住两年装修 稀有跃层全明户型 看房方便 房东诚心售,https://hz.lianjia.com/ershoufang/103134388045.html,德信君宸 ,萧山新城区,"42,106元/平",372万,3室2厅 | 88.35平米 | 南 | 精装 | 18层  | 板楼,2024-08-01 22:59:28
滨江品质，采光好，户型好得房率高 增五平米储藏间,https://hz.lianjia.com/ershoufang/103123558179.html,新越锦粼府 ,萧山新城区,"28,574元/平",338万,4室2厅 | 118.29平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,2024-08-01 22:59:28
小区东门就是地铁口 全新为入住 有地暖,https://hz.lianjia.com/ershoufang/103134071464.html,绿城九龙仓桂语朝阳 ,南部卧城,"30,895元/平",299万,3室2厅 | 96.78平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,2024-08-01 22:59:28
郡望府  东边套   户型采光好,https://hz.lianjia.com/ershoufang/103134000431.html,郡望府 ,萧山开发区,"27,547元/平",245万,4室2厅 | 88.94平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,2024-08-01 22:59:28
满五年，边套，南北通透，户型全明，拓展20方，诚心卖,https://hz.lianjia.com/ershoufang/103132384607.html,恒大帝景 ,南部卧城,"24,551元/平",220万,3室2厅 | 89.61平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
北干华达社区，楼层好，附大平台，阳光房已包进，可议,https://hz.lianjia.com/ershoufang/103134586143.html,北干一苑 ,萧山市区,"25,705元/平",239万,3室2厅 | 92.98平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2024-08-01 22:59:28
日耀之城 250方高楼层 270度采光 可看城市景观,https://hz.lianjia.com/ershoufang/103134032370.html,日耀之城 ,钱江世纪城,"71,992元/平",1800万,4室2厅 | 250.03平米 | 南 | 精装 | 37层  | 板塔结合,2024-08-01 22:59:28
刚交付的萧山次新房，包大税，精装修采光好楼层好,https://hz.lianjia.com/ershoufang/103131917697.html,德信金科泊岸江宸轩 ,南部卧城,"17,041元/平",183万,3室2厅 | 107.39平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-01 22:59:28
双地铁滨江盘 双泳池加会所 中轴景观 满二自己住,https://hz.lianjia.com/ershoufang/103133158347.html,宁东拥潮府 ,萧山新城区,"44,951元/平",580万,4室2厅 | 129.03平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 22:59:28
浙二医院近，楼层好 满5唯一 带精装家具家电35万＋,https://hz.lianjia.com/ershoufang/103133635166.html,碧桂园天麓府 ,南部卧城,"24,787元/平",215万,3室2厅 | 86.74平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
业主诚心出售 采光充足 视野宽阔,https://hz.lianjia.com/ershoufang/103132216873.html,南城景园 ,南部卧城,"16,031元/平",139万,3室2厅 | 86.71平米 | 南 | 精装 | 6层  | 板楼,2024-08-01 22:59:28
带电梯，边套159方4房2卫 带全新精装80万,https://hz.lianjia.com/ershoufang/103132771879.html,美之园西区 ,湘湖,"23,668元/平",378万,4室2厅 | 159.71平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2024-08-01 22:59:28
房东小孩出售留学诚售此房  价格能谈,https://hz.lianjia.com/ershoufang/103132285837.html,滨江新城东方名府 ,萧山新城区,"29,944元/平",379万,4室1厅 | 126.57平米 | 东南 南 | 毛坯 | 中楼层(共20层)  | 板塔结合,2024-08-01 22:59:28
7号线地铁口 自住精装 随时看房诚心置换 全天采好,https://hz.lianjia.com/ershoufang/103133296087.html,博印名邸 ,萧山开发区,"28,559元/平",252万,3室2厅 | 88.24平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
地铁口，诚心出售，视野宽阔，交通便利,https://hz.lianjia.com/ershoufang/103132259490.html,萧悦中御府 ,萧山新城区,"32,159元/平",355万,3室2厅 | 110.39平米 | 南 | 精装 | 33层  | 板楼,2024-08-01 22:59:28
莱茵传奇，89方业主自住装修，楼层好，保养好，诚心出,https://hz.lianjia.com/ershoufang/103131227641.html,高运莱茵传奇 ,萧山新城区,"41,398元/平",365万,3室2厅 | 88.17平米 | 南 | 精装 | 18层  | 板塔结合,2024-08-01 22:59:28
不沿马路 中间楼层！视野采光好 诚心出售,https://hz.lianjia.com/ershoufang/103132518061.html,景宸天玺名城 ,萧山新城区,"41,311元/平",358万,3室2厅 | 86.66平米 | 东北 | 简装 | 34层  | 塔楼,2024-08-01 22:59:28
满二唯一，精装修四房，全明户型，采光充足，楼层好,https://hz.lianjia.com/ershoufang/103132417182.html,开元名郡 ,南部卧城,"24,086元/平",330万,4室2厅 | 137.01平米 | 东南 南 | 精装 | 高楼层(共20层)  | 板楼,2024-08-01 22:59:28
